,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
World,0.404,0.402,0.394,0.389,0.380,0.376,0.371,0.361,0.354,0.345,0.340,0.336,0.334,0.337,0.334,0.330,0.323,0.317,0.310,0.307,0.308,0.305,0.299,0.294,0.286,0.277,0.271,0.267,-1.3,-1.4
Annex I countries,0.417,0.414,0.406,0.399,0.387,0.381,0.380,0.367,0.358,0.349,0.342,0.336,0.330,0.328,0.319,0.310,0.299,0.294,0.284,0.276,0.280,0.272,0.266,0.260,0.252,0.243,0.240,0.239,-0.6,-2.1
OECD,0.362,0.358,0.353,0.350,0.346,0.341,0.342,0.334,0.325,0.317,0.313,0.308,0.304,0.303,0.296,0.289,0.279,0.276,0.267,0.260,0.264,0.255,0.249,0.246,0.237,0.229,0.226,0.224,-0.9,-1.9
G7,0.373,0.368,0.362,0.360,0.354,0.349,0.350,0.343,0.335,0.327,0.323,0.318,0.314,0.312,0.305,0.298,0.286,0.284,0.275,0.266,0.270,0.261,0.255,0.253,0.246,0.236,0.231,0.228,-1.3,-2.0
BRICS,0.636,0.650,0.651,0.636,0.610,0.605,0.582,0.551,0.542,0.512,0.499,0.488,0.480,0.491,0.504,0.501,0.494,0.474,0.455,0.453,0.445,0.446,0.431,0.421,0.405,0.387,0.371,0.361,-2.8,-1.9
Europe,0.307,0.304,0.294,0.288,0.278,0.273,0.277,0.264,0.257,0.246,0.239,0.238,0.234,0.236,0.229,0.223,0.217,0.208,0.203,0.196,0.198,0.188,0.187,0.181,0.170,0.168,0.166,0.166,0.4,-2.1
European Union,0.315,0.312,0.301,0.296,0.285,0.280,0.284,0.270,0.262,0.250,0.243,0.242,0.237,0.239,0.233,0.227,0.220,0.210,0.204,0.197,0.199,0.188,0.188,0.183,0.170,0.168,0.164,0.164,-0.4,-2.3
Belgium,0.317,0.324,0.317,0.316,0.321,0.315,0.326,0.304,0.305,0.285,0.279,0.276,0.259,0.267,0.256,0.245,0.237,0.222,0.223,0.209,0.223,0.198,0.196,0.198,0.182,0.190,0.183,0.178,-2.7,-2.6
Czech Rep.,0.660,0.690,0.666,0.658,0.607,0.567,0.554,0.565,0.541,0.488,0.519,0.502,0.480,0.476,0.457,0.421,0.394,0.379,0.349,0.342,0.345,0.328,0.319,0.310,0.293,0.286,0.285,0.278,-2.6,-3.6
France,0.190,0.201,0.193,0.184,0.176,0.178,0.183,0.175,0.181,0.171,0.165,0.167,0.160,0.161,0.156,0.153,0.145,0.139,0.138,0.134,0.136,0.124,0.125,0.125,0.112,0.114,0.115,0.115,0.6,-2.1
Germany,0.351,0.328,0.308,0.308,0.295,0.289,0.297,0.282,0.274,0.259,0.251,0.253,0.249,0.249,0.242,0.235,0.230,0.215,0.215,0.211,0.215,0.200,0.203,0.208,0.194,0.192,0.191,0.192,0.3,-1.6
Italy,0.207,0.205,0.203,0.202,0.195,0.201,0.197,0.195,0.197,0.196,0.190,0.187,0.190,0.196,0.196,0.195,0.190,0.184,0.181,0.171,0.172,0.168,0.164,0.153,0.146,0.148,0.144,0.141,-2.1,-1.8
