,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OECD,37.0,42.5,49.6,56.3,69.1,65.5,75.5,90.5,92.1,119.9,159.7,189.0,197.6,223.5,248.5,228.5,259.0,255.5,230.6,172.0,154.6,150.6,128.9,109.1,89.3,90.7,79.7,93.0
G7,54.8,66.4,81.3,91.4,98.3,93.0,100.9,119.7,135.3,165.0,199.8,238.6,245.0,259.2,289.2,285.4,307.6,297.6,272.7,227.5,226.2,189.2,188.1,211.5,217.8,224.5,215.2,178.0
BRICS,-54.1,-42.9,-60.9,-52.5,-55.9,-75.2,-80.0,-79.8,-76.9,-91.7,-114.0,-150.2,-141.0,-162.8,-151.9,-139.6,-112.7,-90.5,-57.6,85.7,125.9,199.1,283.6,338.2,339.8,220.4,247.6,263.3
Europe,135.0,150.5,148.7,125.0,122.1,128.8,139.2,146.2,149.9,146.8,171.3,182.0,180.3,199.8,215.4,216.4,237.7,240.8,238.8,199.5,200.0,219.6,232.6,230.5,228.7,216.7,194.0,210.1
European Union,127.6,142.6,141.5,118.0,115.0,121.0,128.9,134.2,136.5,135.6,155.6,172.9,168.3,184.1,198.9,197.6,216.2,218.0,219.5,178.8,176.9,193.2,201.2,202.6,196.9,179.6,154.7,168.0
Belgium,14.3,13.8,13.5,11.3,12.5,14.2,12.1,11.7,12.4,10.5,11.0,11.9,8.3,8.8,9.0,8.0,7.3,6.5,7.4,4.0,5.7,5.4,4.7,4.9,5.2,4.7,4.3,4.2
Czech Rep.,-13.5,-13.1,-13.5,-13.5,-12.1,-12.3,-10.9,-10.1,-9.8,-9.2,-8.0,-8.0,-6.8,-5.6,-5.0,-5.5,-6.1,-5.4,-5.4,-5.3,-4.6,-3.7,-3.5,-2.8,-0.2,0.1,-0.1,0.9
France,19.8,21.6,21.8,13.9,12.1,13.5,16.1,14.5,19.5,18.5,19.7,16.7,19.1,17.9,19.9,20.6,21.2,19.2,21.6,15.9,18.7,16.4,17.4,18.0,13.9,13.3,12.5,14.6
Germany,5.9,13.1,17.2,15.9,17.0,17.2,20.2,24.3,27.9,28.1,34.9,41.6,38.5,39.1,43.0,39.9,48.8,49.8,48.1,39.7,48.8,50.2,50.2,55.8,54.1,54.8,55.9,50.2
Italy,20.5,20.3,17.9,14.5,16.0,19.1,16.8,15.7,17.0,17.4,19.4,20.0,19.8,22.0,25.5,24.8,25.1,25.2,25.1,19.2,21.8,23.2,24.2,20.8,20.8,19.9,16.8,15.1
