,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
World,0,0,0,0,0,0,0,0,0,0,3510,3534,3556,3641,3770,3813,3851,3862,3900,3818,3898,3925,3991,3992,4048,4118,4183,4249,1.6,1.1
OECD,1808,1831,1884,1925,1959,1968,2023,2082,2112,2081,2100,2084,2071,2104,2132,2130,2126,2120,2093,1981,1985,1978,1971,1954,1961,2000,2000,2029,1.4,-0.2
G7,1359,1363,1389,1422,1437,1435,1462,1497,1516,1493,1513,1502,1494,1518,1541,1538,1526,1524,1500,1409,1409,1398,1374,1362,1365,1377,1383,1399,1.2,-0.5
BRICS,542,537,511,491,458,467,476,503,496,539,589,606,634,668,716,749,792,823,865,917,989,1024,1086,1120,1164,1184,1218,1250,2.6,4.5
Europe,0,0,0,0,0,0,0,0,0,0,754,754,750,762,778,777,778,769,763,709,703,693,689,660,655,693,689,704,2.1,-0.4
European Union,660,657,660,672,682,682,700,711,732,696,707,705,701,711,726,725,724,716,714,665,659,646,643,611,609,639,637,645,1.2,-0.5
Belgium,30,33,33,32,32,29,36,37,38,36,38,40,46,46,44,37,37,39,38,35,35,33,35,32,36,35,34,36,5.2,-0.5
Czech Rep.,8,7,7,7,7,7,8,7,7,6,6,6,6,7,7,8,8,8,9,8,8,8,8,7,8,8,6,8,44.5,1.6
France,79,82,80,83,81,82,86,91,94,86,90,91,85,88,89,87,88,87,89,79,72,72,61,58,58,60,59,60,1.8,-2.3
Germany,107,106,113,117,121,116,117,113,119,117,118,116,116,118,122,125,123,121,118,110,104,102,103,100,99,101,103,101,-2.1,-0.9
Italy,91,93,93,94,94,92,90,97,101,95,96,97,97,99,100,102,101,102,95,87,91,86,82,70,67,75,72,73,2.2,-1.6
Netherlands,50,54,55,56,55,60,62,61,63,59,59,59,54,57,59,60,58,57,57,56,59,58,58,56,57,60,61,61,0.3,0.2
Poland,13,12,14,15,15,15,16,16,17,18,19,19,18,18,19,19,22,22,23,23,24,26,27,26,26,28,27,27,-0.6,2.0
Portugal,11,10,12,11,14,13,12,13,14,14,12,13,12,13,13,14,14,13,13,11,12,11,12,14,13,15,15,15,3.0,1.3
Romania,24,15,13,13,15,16,14,13,13,11,11,12,14,12,13,15,14,14,14,12,11,10,10,10,12,12,13,13,3.8,0.9
Spain,54,55,57,54,56,56,56,58,62,61,60,58,58,58,60,61,62,60,61,58,58,57,62,61,61,66,66,67,1.6,0.6
Sweden,18,17,18,20,20,19,21,22,21,21,22,21,20,20,21,21,21,19,22,21,21,20,22,18,20,21,21,21,-1.8,-0.2
United Kingdom,89,92,92,96,93,93,97,97,94,88,88,83,85,85,90,86,83,81,81,75,74,76,72,66,62,62,61,61,-0.2,-2.2
Norway,13,13,14,14,15,13,15,15,15,15,15,14,13,15,14,16,17,17,15,15,15,16,16,16,15,17,14,18,30.1,1.1
Turkey,23,23,23,26,25,27,26,27,28,26,24,26,26,27,26,26,27,26,25,19,20,22,23,24,22,29,30,32,6.4,1.8
CIS,454,435,359,306,256,246,235,232,222,223,231,244,259,269,272,283,294,297,304,304,311,323,333,337,353,342,336,336,0.2,2.2
Kazakhstan,20,18,18,15,13,12,12,11,10,7,7,9,8,9,9,10,12,11,12,12,14,14,14,15,16,15,14,15,4.7,4.5
Russia,306,296,258,230,189,184,177,176,165,171,180,185,193,197,196,212,224,227,238,239,250,260,274,279,293,282,282,282,0.0,2.7
Ukraine,58,53,38,23,20,17,13,13,14,12,9,17,23,25,26,20,15,15,12,12,12,10,5,4,3,3,3,4,8.9,-5.6
Uzbekistan,8,8,7,8,7,7,7,7,7,8,7,7,7,8,8,5,5,5,5,5,4,4,3,3,3,3,3,2,-6.3,-6.4
America,1087,1075,1085,1104,1119,1121,1148,1176,1206,1209,1221,1225,1212,1225,1261,1249,1259,1251,1256,1211,1209,1218,1216,1229,1250,1232,1221,1214,-0.5,0.0
North America,816,803,812,828,835,840,861,881,894,895,909,909,904,920,936,927,930,928,921,875,889,891,885,895,915,916,923,943,2.1,0.2
Canada,84,81,79,81,83,82,87,89,90,91,93,96,97,101,104,100,98,100,96,93,95,90,93,91,92,92,93,102,9.7,0.5
United States,731,722,733,747,752,757,774,792,804,804,816,813,807,819,832,828,831,828,824,782,794,801,792,804,823,824,830,841,1.3,0.2
Latin America,271,272,273,276,284,281,287,295,311,314,312,317,308,304,325,322,330,323,335,336,320,327,331,334,336,316,298,272,-8.7,-0.8
Argentina,23,23,25,25,25,24,25,27,29,30,29,29,27,28,29,29,30,32,30,29,31,30,31,31,31,31,30,29,-2.2,0.0
Brazil,61,59,61,62,66,64,69,74,80,83,84,86,86,87,91,91,92,93,94,95,95,97,103,110,113,107,99,92,-7.0,0.5
Chile,6,6,6,7,7,8,8,9,10,10,10,10,10,11,11,11,13,12,12,11,10,11,10,10,10,10,10,10,0.3,0.3
Colombia,12,13,12,13,13,13,15,15,15,15,15,16,15,16,16,16,16,16,17,16,15,16,16,16,17,14,16,21,26.4,1.8
Mexico,73,74,74,76,78,75,71,71,74,74,69,68,70,74,75,75,72,71,71,73,67,66,67,70,70,64,56,46,-17.8,-2.3
Venezuela,50,52,49,49,52,53,52,54,55,56,55,56,53,44,56,51,57,50,60,61,59,60,58,50,51,45,41,32,-21.5,-3.1
Asia,525,562,606,634,664,699,744,793,779,814,861,862,875,924,989,1013,1040,1072,1082,1112,1177,1202,1256,1274,1291,1340,1400,1451,3.7,3.1
China,110,116,125,131,133,144,151,166,166,182,203,205,217,241,280,290,310,328,345,371,419,433,460,479,506,533,561,589,4.9,6.5
India,52,51,53,54,57,59,63,65,69,86,103,107,113,122,127,130,147,156,166,193,206,213,229,231,231,241,254,266,4.8,5.7
Indonesia,38,39,41,40,42,45,47,46,46,48,51,51,50,50,51,48,47,47,47,49,46,49,47,48,50,47,48,49,0.2,-0.2
Japan,178,187,197,203,213,212,211,218,214,211,211,206,207,207,205,210,201,205,195,182,180,171,170,174,165,164,166,162,-2.3,-1.5
Malaysia,10,10,10,11,14,16,19,19,17,18,21,23,22,25,25,24,24,26,26,26,22,24,27,26,26,24,25,27,4.1,1.3
South Korea,42,56,69,74,79,90,105,123,117,123,125,122,114,112,117,121,124,125,122,119,122,131,134,129,132,145,152,162,6.2,1.5
Taiwan,22,24,23,26,25,30,32,33,35,37,38,40,41,47,53,55,52,52,47,50,46,44,49,46,46,45,46,45,-1.8,1.0
Thailand,11,12,15,18,22,24,32,37,35,37,36,37,42,45,49,48,49,49,50,52,53,52,55,60,57,62,62,65,4.3,3.4
Pacific,34,35,36,38,38,38,40,41,42,41,41,40,42,42,40,39,37,38,37,38,37,39,38,37,35,31,29,28,-1.3,-2.2
Australia,30,30,31,33,33,34,35,36,37,36,36,35,36,36,34,33,31,32,31,32,31,33,32,30,29,25,22,22,-1.8,-3.0
New Zealand,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,6,6,0.8,0.5
Africa,107,108,108,108,107,112,116,123,112,116,109,124,124,116,119,129,118,118,122,116,122,110,110,112,112,104,104,102,-1.2,-0.3
Algeria,21,21,21,20,19,20,19,20,19,21,20,21,20,21,18,19,19,20,22,24,27,26,24,24,31,30,30,29,-3.6,2.1
Egypt,25,26,25,27,28,29,30,30,31,28,25,29,29,30,31,32,31,33,31,30,29,26,27,26,26,26,25,25,0.6,0.0
Nigeria,13,14,13,13,8,10,12,10,7,9,5,11,11,6,5,10,6,3,5,3,5,7,5,5,3,2,4,5,22.0,-0.3
South Africa,14,14,13,13,14,17,16,22,17,18,18,22,25,22,21,25,19,19,21,20,19,20,20,21,21,21,22,21,-4.0,0.8
Middle-East,204,198,226,237,265,268,279,284,289,294,292,285,294,304,312,323,326,317,336,328,339,338,347,343,351,376,405,413,1.8,2.1
Iran,43,49,50,57,63,65,68,73,76,80,80,79,79,79,79,84,86,86,87,86,85,88,91,93,90,86,88,92,4.6,0.9
Kuwait,11,3,16,22,38,41,40,44,43,46,37,33,36,42,42,44,45,46,46,44,45,43,46,44,43,44,43,36,-16.6,-0.2
Saudi Arabia,75,74,82,81,82,79,89,80,81,81,83,83,81,89,96,100,99,96,101,96,96,94,98,93,110,122,137,145,5.7,3.3
United Arab Emirates,9,10,10,10,11,11,12,13,12,12,14,15,17,17,18,17,18,16,16,19,20,22,22,23,22,44,57,55,-3.9,8.3
