,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OECD,15.0,10.5,2.1,2.2,-0.2,3.1,6.0,5.8,7.6,4.5,0.6,11.0,18.1,13.8,14.6,15.6,15.7,0.5,6.7,9.0,11.6,1.4,-9.1,9.9,4.6,4.2,-6.1,-29.1
G7,3.7,1.9,-3.8,-3.4,-5.6,-9.7,-19.6,-14.0,-5.3,-5.7,-9.6,-7.1,-5.2,-16.9,-10.9,-6.3,-27.1,-21.5,-16.4,10.0,2.1,-7.6,-9.6,-17.0,-29.2,-37.9,-43.9,-54.2
BRICS,20.2,17.7,12.5,12.2,8.0,9.0,27.4,27.6,27.7,30.4,35.6,17.1,19.8,16.0,21.9,19.7,18.2,17.5,14.0,17.3,6.8,2.6,12.6,14.9,12.2,8.9,13.5,13.0
Europe,25.0,8.3,7.5,6.4,6.0,5.7,6.6,4.5,1.7,3.6,3.7,9.9,11.2,9.6,5.6,9.6,12.0,10.2,13.5,8.2,11.6,13.8,8.4,9.2,5.2,4.0,3.4,-13.8
European Union,45.5,19.5,22.1,22.1,19.8,20.6,-1.3,6.3,1.1,13.3,23.0,7.0,15.5,0.1,-4.3,15.7,8.5,16.4,23.1,20.1,7.5,7.2,18.7,12.6,15.5,14.3,14.5,5.6
Belgium,-3.7,-1.8,0.1,2.2,4.0,4.1,4.2,3.3,1.4,0.9,4.3,9.1,7.6,6.4,7.8,6.3,10.2,6.8,10.6,-1.8,0.6,2.5,9.9,9.6,17.6,21.0,6.2,6.0
Czech Rep.,-0.7,-2.5,-3.0,-2.1,-0.4,0.4,0.0,-1.2,-2.5,-3.3,-10.0,-9.5,-11.4,-16.2,-15.7,-12.6,-12.6,-16.2,-11.5,-13.6,-14.9,-17.0,-17.1,-16.9,-16.3,-12.5,-11.0,-13.0
France,-45.4,-52.9,-53.8,-61.4,-63.2,-69.8,-68.8,-65.4,-57.6,-63.1,-69.5,-68.4,-77.0,-66.4,-61.9,-60.3,-63.3,-56.8,-48.0,-25.9,-30.7,-56.4,-44.5,-48.5,-67.2,-64.1,-41.5,-40.1
Germany,0.9,-0.6,-5.3,0.9,2.3,4.8,-5.3,-2.3,-0.6,1.0,3.1,3.7,10.0,-3.3,-2.6,-4.6,-17.0,-16.6,-20.1,-12.3,-15.0,-3.8,-20.5,-32.2,-33.9,-48.3,-50.9,-51.9
Italy,34.7,35.1,35.3,39.4,37.6,37.4,37.4,38.8,40.7,42.0,44.3,48.4,50.6,51.0,45.6,49.2,45.0,46.3,40.0,45.0,44.2,45.7,43.1,42.1,43.7,46.4,37.0,37.8
Netherlands,9.2,9.2,8.7,10.3,10.6,11.4,10.6,12.6,11.8,18.4,18.9,17.3,16.4,17.0,16.2,18.3,21.5,17.6,15.9,4.9,2.8,9.1,17.1,18.2,14.7,8.7,4.9,2.2
Poland,-1.0,-2.6,-4.0,-2.4,-2.7,-2.8,-3.1,-2.2,-3.5,-4.9,-6.4,-6.7,-7.1,-10.2,-9.3,-11.2,-11.0,-5.3,-0.7,-2.2,-1.4,-5.2,-2.8,-4.5,2.2,-0.3,2.0,2.3
Portugal,0.0,0.1,1.3,0.2,0.9,0.9,1.1,2.9,0.3,-0.9,0.9,0.2,1.9,2.8,6.5,6.8,5.4,7.5,9.4,4.8,2.6,2.8,7.9,2.8,0.9,2.3,-5.1,-2.7
Romania,9.5,7.0,4.2,1.9,0.7,0.3,0.8,0.2,0.4,-0.8,-0.7,-1.3,-2.9,-2.1,-1.2,-2.9,-4.3,-2.1,-4.2,-2.3,-2.3,-1.9,0.3,-2.0,-7.1,-6.7,-4.9,-2.6
Spain,-0.4,-0.7,0.6,1.3,1.9,4.5,1.1,-3.1,3.4,5.7,4.4,3.5,5.3,1.3,-3.0,-1.3,-3.3,-5.8,-11.0,-8.1,-8.3,-6.1,-11.2,-6.8,-3.4,-0.1,7.7,9.5
Sweden,-1.8,-1.3,-2.2,-0.6,0.3,-1.7,6.1,-2.7,-10.7,-7.5,4.7,-7.3,5.4,12.8,-2.1,-7.4,6.0,1.3,-2.0,4.7,2.1,-7.2,-19.6,-10.0,-15.6,-22.6,-11.7,-19.0
United Kingdom,11.9,16.4,16.7,16.7,16.9,16.3,16.8,16.6,12.7,14.2,14.2,10.4,8.4,2.2,7.5,8.3,7.5,5.2,11.0,2.9,2.7,6.2,11.9,14.4,20.5,20.9,17.5,14.8
Norway,-15.9,-2.8,-8.7,-7.8,-0.1,-6.7,9.0,3.8,3.6,-1.9,-19.1,3.6,-9.7,7.9,11.5,-12.0,0.9,-10.0,-13.9,-9.0,7.5,-3.1,-17.8,-5.0,-15.6,-14.6,-16.4,-15.2
Turkey,-0.7,0.3,-0.1,-0.4,-0.5,-0.7,-0.1,2.2,3.0,2.0,3.4,4.1,3.2,0.6,-0.7,-1.2,-1.7,-1.6,-0.3,-0.7,-0.8,0.9,2.9,6.2,5.3,3.9,4.9,-0.6
CIS,-20.9,-8.0,-6.6,-13.0,-9.2,-9.0,-7.7,-8.7,-3.1,-7.3,-6.6,-7.1,-5.9,-10.0,-11.2,-15.5,-20.6,-19.3,-21.4,-17.8,-22.5,-29.4,-25.2,-22.2,-19.1,-16.8,-25.3,-24.5
Kazakhstan,17.3,15.5,14.2,6.0,13.0,7.4,6.6,4.7,3.8,3.0,3.0,1.8,0.4,-1.5,-2.2,-0.1,0.2,0.1,0.3,-0.7,1.2,0.8,1.3,-0.8,-1.2,0.0,-1.9,-2.1
Russia,-8.3,-12.1,-16.2,-18.7,-20.5,-19.6,-19.5,-19.7,-18.0,-14.2,-14.1,-15.9,-12.9,-13.4,-7.6,-12.4,-15.8,-12.8,-17.6,-14.9,-17.4,-22.6,-16.5,-13.7,-8.0,-11.7,-14.5,-11.0
Ukraine,-28.5,-14.8,-5.1,-1.5,-1.0,-3.0,-2.0,-0.2,-0.7,-3.4,-3.8,-3.1,-3.1,-4.9,-5.3,-8.4,-10.4,-9.2,-6.7,-4.3,-4.1,-6.3,-11.5,-9.9,-8.4,-1.4,-3.8,-4.8
