,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
World,10149,10441,10529,10726,11006,11364,11721,11990,12283,12634,13198,13409,13854,14406,15053,15674,16337,17126,17454,17351,18554,19132,19598,20188,20591,20936,21464,22016,2.6,3.1
OECD,6650,6881,6937,7082,7298,7509,7717,7859,8056,8265,8588,8634,8809,8950,9155,9343,9437,9657,9654,9270,9701,9640,9634,9660,9629,9680,9739,9789,0.5,0.8
G7,5234,5440,5472,5581,5735,5881,6037,6108,6256,6398,6607,6586,6709,6777,6896,7018,7040,7181,7138,6816,7118,7017,6973,7006,6968,6967,6956,6980,0.3,0.3
BRICS,2023,2078,2104,2152,2199,2296,2392,2461,2499,2593,2742,2827,3016,3311,3633,3951,4384,4852,5087,5325,5876,6405,6744,7199,7512,7732,8075,8459,4.8,6.9
Europe,2516,2537,2532,2525,2559,2632,2716,2759,2817,2862,2952,3022,3057,3130,3205,3264,3317,3356,3388,3229,3377,3332,3342,3318,3255,3307,3349,3377,0.8,0.8
European Union,2272,2292,2284,2279,2309,2370,2444,2478,2522,2561,2637,2702,2733,2801,2859,2901,2943,2963,2977,2829,2949,2895,2891,2863,2796,2835,2861,2873,0.4,0.5
Belgium,59,62,64,65,68,70,71,73,76,76,79,80,80,82,84,84,86,86,86,80,86,84,84,84,83,83,83,84,0.7,0.3
Czech Rep.,53,50,48,48,49,52,54,53,52,51,52,54,54,55,56,58,59,60,60,57,56,56,56,55,55,56,57,58,1.6,0.6
France,323,347,356,356,363,368,384,382,393,401,410,421,419,437,449,451,446,448,461,448,472,443,454,457,430,440,447,445,-0.4,0.5
Germany,481,481,476,467,465,473,480,483,487,491,501,513,526,531,538,539,544,545,543,514,547,541,540,537,526,528,528,531,0.6,0.3
Italy,219,224,228,229,237,243,246,254,261,267,279,285,291,300,304,310,318,319,319,300,310,314,307,297,291,297,295,301,2.0,0.4
Netherlands,74,76,78,79,83,84,87,90,94,96,99,101,102,104,106,108,110,112,113,109,112,113,108,110,107,108,110,109,-0.8,0.6
Poland,109,103,98,99,100,104,107,109,109,107,109,109,108,111,115,116,121,125,127,122,129,132,133,134,136,139,144,148,2.6,1.8
Portugal,24,25,26,26,27,29,31,32,34,37,39,41,42,44,45,47,49,50,49,49,51,49,47,46,46,47,47,49,3.3,1.4
Romania,60,51,47,43,41,43,46,47,44,39,41,42,42,44,45,47,47,47,48,43,46,47,47,45,46,47,49,48,-0.9,0.9
Spain,129,132,134,134,140,146,152,163,170,182,195,207,212,224,237,248,254,258,261,247,250,249,246,235,233,239,240,244,1.3,1.3
Sweden,131,132,130,131,130,132,132,132,133,133,135,139,137,135,135,135,135,136,133,128,137,129,132,129,127,130,134,134,0.2,0.0
United Kingdom,284,291,291,296,292,304,320,321,325,332,340,343,344,347,348,357,354,351,350,330,337,326,325,324,311,311,311,305,-2.0,-0.6
Norway,98,100,100,102,103,105,104,105,110,110,111,114,110,105,110,114,111,115,117,113,121,114,119,120,117,119,123,123,0.6,0.6
Turkey,47,49,54,59,61,67,74,82,88,91,98,97,103,112,121,130,143,155,162,157,172,186,195,198,207,217,229,242,5.6,5.5
CIS,1417,1388,1289,1186,1066,1051,1010,984,959,975,1000,1011,1012,1047,1075,1086,1138,1165,1192,1135,1203,1223,1247,1243,1242,1227,1244,1257,1.1,1.4
Kazakhstan,97,93,88,74,61,55,49,41,38,38,39,43,43,46,47,49,53,56,60,59,65,71,73,71,75,74,75,82,9.0,4.5
Russia,917,899,838,782,707,713,697,683,665,685,709,716,715,738,756,760,798,821,843,808,851,856,875,872,877,871,886,889,0.4,1.3
Ukraine,230,224,208,190,166,158,142,136,130,126,124,122,123,129,135,138,144,149,148,134,148,152,150,148,134,124,124,125,1.2,0.1
Uzbekistan,46,46,43,42,40,39,40,40,40,40,41,41,42,42,43,42,44,42,42,43,44,45,45,46,47,48,49,50,2.1,1.1
America,3652,3817,3852,3985,4104,4233,4342,4436,4573,4692,4881,4836,4947,5046,5150,5283,5322,5490,5522,5307,5544,5598,5603,5672,5717,5717,5732,5692,-0.7,0.9
North America,3146,3292,3308,3415,3505,3603,3696,3751,3851,3947,4093,4057,4144,4187,4248,4345,4342,4466,4457,4242,4415,4415,4369,4407,4434,4428,4425,4379,-1.0,0.4
Canada,433,438,442,452,458,467,475,480,478,487,503,503,512,525,532,533,524,544,550,517,520,530,538,534,540,532,535,572,6.8,0.8
United States,2713,2854,2866,2963,3047,3136,3221,3271,3374,3460,3590,3554,3632,3662,3716,3811,3818,3922,3907,3725,3894,3885,3831,3873,3894,3895,3890,3808,-2.1,0.3
Latin America,506,525,544,570,599,630,646,685,722,746,788,779,803,859,902,939,980,1023,1065,1065,1129,1183,1234,1265,1283,1290,1307,1312,0.4,3.0
Argentina,40,42,45,48,52,55,59,63,68,71,75,76,74,81,85,90,96,98,107,106,113,116,120,121,126,130,130,130,-0.5,3.2
Brazil,216,223,228,239,248,262,275,293,305,313,329,307,321,339,356,371,386,406,423,421,459,476,492,509,522,514,518,522,0.9,2.8
Chile,16,17,20,21,22,24,27,30,31,35,37,40,41,45,48,49,51,54,54,55,55,58,63,66,68,67,70,71,1.0,3.9
Colombia,27,28,29,32,33,35,36,35,34,32,33,35,35,37,39,39,41,42,43,45,46,49,49,49,51,52,54,54,0.7,2.9
Mexico,100,103,106,110,118,123,111,120,129,137,148,151,155,177,187,195,199,208,215,211,221,239,253,247,257,262,271,267,-1.5,3.5
Venezuela,47,50,54,56,56,57,59,60,61,60,63,66,67,66,72,73,78,78,80,83,84,87,90,99,80,73,66,70,5.3,0.6
Asia,1923,2049,2170,2305,2522,2662,2811,2930,3012,3147,3369,3508,3743,4046,4433,4800,5250,5743,5938,6230,6869,7368,7748,8253,8595,8861,9270,9777,5.5,6.5
China,534,581,645,716,798,848,916,953,986,1044,1138,1241,1380,1605,1859,2126,2446,2817,2989,3223,3626,4052,4326,4718,4939,5104,5367,5683,5.9,9.9
India,215,236,252,271,295,315,321,341,358,369,376,382,406,433,463,489,543,588,619,669,727,803,839,890,963,1032,1098,1156,5.3,6.8
Indonesia,28,31,35,39,45,50,57,64,65,71,79,85,87,90,100,108,113,122,129,136,148,160,175,188,199,203,216,226,4.7,6.4
Japan,781,805,812,818,873,890,911,918,938,960,982,967,985,975,1009,1016,1036,1051,1008,983,1037,979,978,983,976,964,950,1019,7.2,0.2
Malaysia,20,22,26,28,34,39,44,51,53,56,61,65,69,73,77,81,85,89,93,103,111,112,121,127,133,133,144,147,2.0,5.3
South Korea,94,104,115,128,147,163,182,201,193,214,263,282,301,318,338,358,371,393,408,415,458,481,493,498,499,507,522,534,2.4,4.3
Taiwan,79,87,93,101,109,116,123,132,143,149,164,167,176,185,195,203,210,217,214,206,222,227,227,230,236,235,240,246,2.4,2.4
Thailand,38,43,49,56,63,71,77,82,80,81,88,92,100,107,115,121,128,133,135,135,149,149,162,164,169,175,183,185,1.2,4.5
Pacific,165,168,169,175,179,184,190,196,206,212,218,227,238,234,240,241,246,256,256,260,265,268,265,265,265,270,273,273,-0.2,1.3
Australia,134,137,139,143,146,151,155,160,170,175,180,188,198,194,198,199,203,212,213,217,221,224,222,222,222,225,229,229,-0.2,1.4
New Zealand,29,29,29,30,31,31,32,33,33,34,35,35,36,36,38,38,39,40,39,39,40,39,39,39,39,40,39,40,0.1,0.8
Africa,263,268,274,284,294,305,339,353,355,363,379,383,411,427,447,472,495,520,521,521,554,584,597,606,626,641,650,663,2.0,3.3
