,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
World,2058,2102,2102,2148,2166,2203,2294,2297,2344,2418,2503,2550,2611,2711,2791,2870,2960,3037,3159,3060,3281,3367,3423,3489,3537,3584,3620,3763,4.0,2.4
OECD,881,903,922,958,995,1010,1063,1067,1073,1084,1109,1131,1121,1124,1121,1103,1121,1134,1170,1159,1186,1204,1230,1239,1275,1304,1319,1348,2.2,1.2
G7,707,717,732,763,801,810,837,843,850,861,885,896,874,874,849,828,833,840,853,841,851,884,903,904,956,991,995,1010,1.5,0.8
BRICS,663,668,667,647,638,631,640,616,637,642,637,638,658,686,705,721,742,749,778,727,821,843,829,852,833,829,836,900,7.7,2.1
Europe,242,257,255,269,269,279,314,307,305,311,319,324,330,332,341,329,322,311,326,311,318,291,294,287,266,261,256,258,0.5,-1.3
European Union,213,228,225,239,237,246,272,260,256,259,264,265,260,254,259,241,231,218,220,201,206,184,174,173,153,139,135,128,-5.0,-4.2
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-100.0
Czech Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.2
France,3,3,3,3,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,31.5,-22.3
Germany,19,19,19,19,20,21,23,22,22,23,22,22,22,22,20,20,20,20,18,18,15,15,13,12,9,9,8,7,-8.4,-6.2
Italy,17,17,18,20,21,20,20,19,19,17,17,15,15,14,13,12,11,10,9,8,8,8,9,8,7,7,6,6,-4.3,-6.3
Netherlands,76,86,86,88,84,85,96,85,81,76,73,78,76,73,86,79,77,76,84,79,89,81,80,86,70,54,50,44,-11.8,-2.9
Poland,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-1.5,0.6
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Romania,28,25,22,21,19,18,17,15,14,14,14,14,13,13,13,12,12,12,11,11,11,11,11,11,11,11,10,11,7.6,-1.5
Spain,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35.5,-8.9
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
