,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OECD,120.9,92.4,77.7,58.7,74.6,73.9,85.5,60.2,64.7,90.6,104.6,105.2,114.3,115.7,115.9,135.5,124.0,97.5,66.8,60.4,57.7,21.2,-7.5,-15.2,-23.1,-50.0,-39.1,-49.9
G7,115.3,95.2,86.5,63.5,67.4,69.9,79.6,59.6,70.7,87.6,90.4,88.6,79.7,79.9,76.3,88.9,82.0,43.4,11.1,6.3,5.5,-16.6,-31.3,-34.5,-31.5,-57.8,-67.7,-75.6
BRICS,-55.3,-42.3,-30.8,-13.5,-20.4,-9.5,-12.8,-7.1,3.1,-11.5,-34.9,-41.1,-55.1,-54.2,-52.3,-74.2,-72.1,-80.8,-81.0,-108.7,-113.0,-99.7,-108.1,-128.5,-124.8,-115.3,-120.9,-116.7
Europe,36.6,40.0,33.8,22.7,18.7,28.9,29.2,24.3,26.0,36.5,38.9,43.3,47.8,42.9,28.2,36.5,41.5,29.7,34.4,46.5,46.7,34.7,15.1,25.7,25.9,15.9,23.2,14.8
European Union,28.7,33.5,27.3,16.0,12.0,20.5,19.4,13.7,15.5,26.0,24.2,30.9,33.7,30.1,14.2,21.5,25.4,13.1,16.4,21.8,22.7,14.7,-9.3,1.1,2.3,-9.9,-6.0,-13.4
Belgium,-4.5,-5.4,-4.4,-3.7,-1.6,0.1,-2.7,-3.5,-3.7,-4.0,-4.4,-3.4,-4.1,-3.5,-2.6,0.5,0.1,-1.4,1.5,0.6,1.6,1.0,-2.5,1.5,-3.5,-0.9,-0.2,-3.2
Czech Rep.,1.2,0.8,1.2,1.2,1.0,0.9,0.6,1.0,1.4,1.8,1.9,2.2,1.9,2.0,2.5,1.9,1.7,2.2,1.6,1.9,1.1,1.6,1.3,1.6,1.4,1.5,2.6,1.4
France,11.1,14.0,12.2,9.5,8.2,9.4,6.2,2.3,5.3,11.5,9.2,8.0,12.9,8.1,8.6,9.9,10.7,10.0,5.5,13.8,17.8,17.7,23.1,22.2,22.3,19.8,18.4,18.4
Germany,31.5,39.3,32.7,30.9,25.7,29.1,32.0,36.6,29.5,23.9,23.6,25.2,17.8,17.2,10.3,8.7,9.8,0.6,9.3,10.6,17.7,15.0,13.7,17.6,15.9,15.2,16.0,18.3
Italy,6.6,2.8,4.5,2.5,3.6,8.3,8.1,1.2,-0.8,-0.1,-1.0,-5.8,-2.7,-5.1,-9.3,-14.3,-12.1,-16.9,-14.5,-12.5,-16.4,-14.3,-17.8,-11.6,-8.3,-14.9,-13.4,-15.0
Netherlands,-14.9,-17.7,-20.0,-20.9,-19.7,-24.6,-23.1,-21.4,-22.6,-19.8,-17.0,-17.3,-12.0,-12.4,-12.4,-12.2,-9.8,-8.8,-8.3,-11.2,-14.3,-13.0,-11.9,-11.5,-13.1,-15.2,-18.9,-21.2
Poland,1.2,1.1,0.6,0.7,1.0,1.3,2.3,3.0,2.6,1.9,1.2,1.2,1.6,2.3,3.1,3.4,3.1,3.4,2.6,2.9,1.9,0.7,-1.0,-2.2,-2.3,-2.9,0.1,3.6
Portugal,1.0,2.1,1.8,1.3,-1.0,0.6,1.2,0.9,2.1,2.9,3.7,3.5,4.3,2.9,2.4,3.3,-0.1,1.0,1.3,1.7,0.7,1.0,-0.8,-3.2,-1.8,-4.1,-4.0,-4.6
Romania,-4.8,-0.7,-0.6,-0.9,-3.3,-1.7,-0.5,1.1,-0.5,-0.6,-1.2,-0.1,-2.5,-1.6,-2.4,-4.7,-3.9,-3.0,-3.2,-2.5,-1.3,-1.3,-0.6,-1.5,-2.6,-2.2,-2.4,-2.2
Spain,-4.6,-3.5,-2.7,-2.6,-0.7,3.0,3.0,5.8,6.7,10.1,12.2,15.0,16.7,17.2,17.5,19.3,18.0,19.9,16.5,15.1,12.8,9.9,-0.6,-4.2,-2.9,-4.5,-2.5,-3.1
Sweden,-2.1,-1.7,-2.4,-2.7,-1.3,-2.0,-1.7,-3.7,-2.4,-3.7,-4.9,-3.3,-2.4,-2.4,-4.0,-2.9,-3.5,-2.6,-4.6,-4.4,-4.2,-3.1,-6.4,-2.8,-4.2,-6.5,-5.4,-7.5
United Kingdom,-6.1,-9.6,-11.0,-14.4,-12.9,-13.0,-15.2,-18.0,-13.0,-7.8,-6.5,-2.1,-8.0,-6.4,-12.0,-7.4,-2.1,-4.8,-4.7,-3.3,-2.4,-5.1,-3.8,1.5,6.3,8.8,10.2,9.8
Norway,-4.7,-3.9,-5.9,-5.7,-6.4,-5.1,-5.6,-5.5,-5.8,-5.2,-5.5,-5.1,-4.5,-5.3,-4.9,-5.5,-6.4,-6.9,-5.9,-5.1,-3.5,-6.3,-5.7,-4.8,-6.1,-6.3,-5.3,-7.6
Turkey,0.2,-0.5,0.2,1.6,1.1,1.7,3.4,3.3,2.9,3.1,7.4,3.2,4.5,4.1,4.8,4.5,6.1,7.8,7.5,13.4,12.0,10.6,12.9,13.9,15.7,16.1,17.8,19.0
CIS,-53.5,-31.8,-28.7,-28.2,-38.5,-38.1,-53.5,-51.7,-48.5,-52.7,-57.5,-68.4,-86.4,-87.2,-93.4,-106.6,-106.4,-112.2,-112.0,-117.8,-125.7,-114.7,-114.2,-128.7,-127.9,-127.0,-113.0,-111.6
Kazakhstan,1.4,4.8,3.9,1.7,0.6,0.0,-1.3,-0.9,-0.2,0.1,1.3,-0.2,-0.7,-1.1,-0.9,-2.4,-1.8,-1.7,-1.9,-4.4,-5.2,-4.6,-4.0,-3.8,-4.8,-2.6,-2.0,-2.2
