,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
World,3090,3116,3132,3132,3164,3236,3317,3395,3426,3496,3532,3558,3587,3651,3808,3851,3892,3942,3898,3804,3908,3938,3970,4007,4050,4121,4188,4258,1.7,1.1
OECD,1789,1800,1840,1855,1905,1919,1966,1992,2001,2030,2030,2042,2033,2064,2097,2095,2066,2047,1959,1866,1893,1861,1834,1817,1800,1822,1844,1864,1.1,-0.5
G7,1387,1381,1403,1409,1435,1439,1472,1485,1498,1519,1512,1523,1514,1535,1560,1554,1527,1498,1420,1343,1365,1344,1320,1309,1300,1308,1312,1323,0.8,-0.8
BRICS,486,506,494,489,460,487,495,517,526,551,573,577,589,614,670,677,712,745,765,766,802,847,884,912,950,992,1018,1058,3.9,3.7
Europe,649,655,653,648,651,662,680,680,689,679,667,678,674,681,682,680,678,659,650,616,612,586,569,556,549,564,574,587,2.2,-0.8
European Union,598,606,606,598,602,610,624,624,634,626,613,624,618,624,625,623,618,600,591,557,553,530,511,497,491,500,507,516,1.8,-1.0
Belgium,18,19,20,19,22,21,23,23,23,23,22,23,22,23,23,23,22,22,23,21,22,20,21,21,21,22,22,21,-5.0,-0.4
Czech Rep.,9,7,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,9,9,9,8,8,9,8,8,9,16.4,1.0
France,80,86,85,83,82,84,85,85,89,88,86,89,86,86,86,85,85,83,81,77,75,73,71,70,68,68,67,67,1.1,-1.4
Germany,119,127,128,130,128,128,130,129,129,124,121,123,118,116,114,112,112,99,105,100,101,98,98,100,97,97,98,102,3.7,-1.0
Italy,88,87,89,88,87,91,90,90,90,88,86,85,87,86,84,81,81,78,74,68,67,64,59,53,54,54,54,53,-1.6,-2.8
Netherlands,22,21,22,21,22,23,24,24,24,24,23,24,24,27,27,26,26,27,26,25,26,25,25,25,24,24,24,25,2.2,0.3
Poland,13,13,13,14,14,14,16,18,18,19,19,18,18,19,20,21,22,23,23,23,25,24,23,21,21,23,25,28,11.2,2.5
Portugal,11,11,12,12,12,13,12,13,15,15,15,15,16,14,14,15,13,13,13,12,11,10,9,9,9,9,9,9,2.6,-2.8
Romania,17,14,12,11,11,11,13,13,11,10,10,11,11,10,10,10,10,10,10,9,8,8,9,8,8,9,9,9,2.7,-0.2
Spain,44,46,48,45,49,52,51,53,57,59,61,63,64,65,67,68,66,67,63,59,57,54,49,47,45,48,49,50,0.4,-1.2
Sweden,15,15,16,16,17,16,18,16,17,16,15,15,15,15,14,14,13,13,12,11,12,11,11,10,10,10,10,10,-2.2,-2.2
United Kingdom,73,74,74,74,73,72,74,72,70,70,68,67,67,68,69,69,68,66,64,60,60,57,57,55,55,57,58,58,0.4,-0.9
Norway,8,8,8,8,8,8,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,-1.4,0.3
Turkey,22,22,23,26,25,28,30,29,29,28,30,28,29,29,29,28,30,30,30,31,29,29,31,33,32,37,40,43,6.7,2.2
CIS,371,374,308,259,204,199,179,174,170,166,164,163,162,165,164,164,169,171,175,168,172,187,191,187,199,198,204,203,-0.4,1.3
Kazakhstan,19,22,21,17,12,11,9,8,9,7,8,7,8,8,8,9,10,10,11,9,9,10,10,11,11,12,12,13,2.3,3.1
Russia,214,221,196,174,135,133,125,120,117,121,119,120,117,118,117,117,121,123,127,121,127,139,140,140,153,152,157,155,-0.9,1.6
Ukraine,67,64,39,28,25,25,16,18,17,12,12,13,13,13,13,14,14,14,14,14,13,13,13,12,11,10,10,11,2.5,-0.4
Uzbekistan,10,10,8,8,7,7,6,7,7,7,6,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,2,2,0.6,-5.7
