,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
World,3158,3175,3177,3209,3234,3273,3383,3484,3509,3519,3596,3625,3634,3715,3860,3904,3934,3951,3984,3880,3953,3988,4020,4035,4084,4181,4231,4292,1.4,1.0
OECD,1830,1859,1910,1953,1984,1991,2046,2107,2132,2100,2123,2110,2093,2128,2166,2161,2151,2140,2116,1993,2017,2016,1986,1978,1972,2035,2033,2055,1.1,-0.2
G7,1381,1387,1412,1446,1461,1457,1488,1522,1539,1517,1537,1527,1518,1543,1573,1569,1552,1547,1526,1426,1446,1441,1395,1392,1384,1421,1429,1441,0.8,-0.4
BRICS,541,557,535,517,488,497,508,532,528,569,618,637,657,688,743,771,814,849,880,924,965,996,1046,1088,1134,1158,1189,1219,2.6,4.1
Europe,702,698,702,717,724,722,744,757,779,739,746,747,742,755,771,769,770,761,756,702,696,686,681,654,648,686,683,696,2.0,-0.4
European Union,654,651,656,669,677,675,693,706,727,690,699,698,692,703,720,717,715,707,706,658,651,639,635,604,602,632,631,638,1.0,-0.5
Belgium,29,32,32,31,32,29,35,37,38,36,38,40,46,46,43,37,37,39,38,35,35,33,35,32,35,35,34,35,4.9,-0.5
Czech Rep.,8,7,7,7,7,7,8,7,7,6,6,6,6,7,7,8,8,8,9,8,8,7,8,7,8,8,6,8,44.5,1.7
France,78,81,80,82,80,82,86,91,94,85,89,91,84,88,88,86,87,86,88,78,71,72,61,58,58,60,59,60,2.0,-2.3
Germany,106,104,112,116,119,114,115,111,117,115,116,114,114,116,120,123,121,118,116,108,101,100,101,98,97,99,100,98,-2.2,-1.0
Italy,91,91,91,92,92,90,89,96,100,94,95,96,96,98,98,101,99,101,95,86,90,86,82,70,66,74,72,74,2.1,-1.5
Netherlands,49,53,55,55,55,59,61,60,62,58,59,58,54,56,58,59,58,56,56,55,58,57,57,55,57,60,61,60,-0.8,0.2
