,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (points) ,2000 - 2017 (points) 
Belgium,1.67,1.79,1.98,1.8,1.99,2.1,2,1.98,2.24,2.36,2.72,2.85,2.76,2.67,3.25,3.93,4.93,5.38,6.79,7.53,8.25,10.64,14.18,15.57,18.42,22.03,17.37,18.65,1.3,15.9
Czech Republic,2.32,2.18,2.76,2.98,3.57,4.4,4.19,3.98,3.79,4.47,3.86,4.01,4.39,2.75,3.89,4.58,5.01,4.36,4.88,6.34,7.56,9.09,10.06,11.75,11.87,12.75,12.69,12.45,-0.2,8.6
France,14.1,13.97,16.12,14.79,17.45,15.89,14.16,13.92,13.45,15.21,13.74,14.92,12.46,12.07,12.07,10.62,11.79,12.57,13.69,13.93,14.59,12.37,15.56,17.79,17.32,16.59,18.45,17.56,-0.9,3.8
Germany,3.9,3.85,4.38,4.62,5.18,5.66,5.62,4.82,5.2,5.84,6.89,7.23,8.39,8.34,10.2,11.13,12.26,14.87,15.5,16.87,17.57,21.14,23.75,24.76,26.82,29.88,30.02,33.98,4,27.1
Italy,17.71,22.05,21.81,21.67,22.14,18.88,20.97,20.34,20.25,21.73,20.81,22.03,19.65,18.54,20.25,18.21,18.17,17.01,19.98,25.14,26.57,28.06,31.48,39.31,43.74,38.99,37.53,35.74,-1.8,14.9
Netherlands,1.12,1.26,1.29,1.43,1.58,1.73,2.13,2.33,2.56,2.89,3.32,3.53,4.14,4.09,5.24,7.45,8.15,7.21,8.86,9.53,9.39,10.81,12.11,11.98,11.32,12.44,12.8,14.84,2,11.5
Poland,2.47,2.59,2.77,2.72,2.83,2.82,2.82,2.79,3.19,3.15,2.99,3.21,3.05,2.55,3.12,3.46,3.26,3.78,4.64,6.11,7.27,8.3,10.67,10.71,12.82,14.12,14.02,15.48,1.5,12.5
Portugal,35.08,33.45,19.83,30.94,37.24,28.56,46.02,41.81,36.49,20.78,30.3,34.58,22.1,38.49,27.92,18.57,33.01,35.08,32.93,37.88,53.16,47.06,43.78,59.24,61.37,48.67,55.44,39.75,-15.7,9.5
Romania,17.74,25.68,21.59,23.02,23.66,28.17,25.68,30.66,35.31,36.07,28.46,27.7,29.32,24.05,29.23,34.02,29.28,25.95,26.52,27.28,33.88,26.57,25.74,34.81,42.03,40.09,43.75,38.7,-5.1,10.2
Spain,17.61,18.52,13.62,16.89,18.54,15.48,24.27,20.07,19.83,14.35,16.95,22.15,15.61,22.7,19.12,15.95,18.71,20.16,20.69,26.08,33.49,30.57,30.44,40.47,40.92,35.7,39.35,32.17,-7.2,15.2
Sweden,51.18,44.46,52.51,53.11,43.17,47.6,38.42,48.29,49.2,48.28,57.26,51.57,48.51,43.41,44.97,51.32,49.65,52.06,54.35,58.46,55.33,55.98,59.1,54.07,55.87,63.29,57.02,57.53,0.5,0.3
United Kingdom,2.44,2.12,2.52,2.21,2.58,2.52,2.06,2.4,2.83,3.4,3.36,3.11,3.56,3.35,4.26,4.99,5.53,5.93,6.67,7.68,7.58,10.21,12.15,15.68,19.95,25.45,25.31,30.16,4.8,26.8
Norway,99.79,99.8,99.82,99.8,99.65,99.66,99.5,99.58,99.62,99.56,99.72,99.52,99.58,99.4,99.35,99.47,99.32,99.14,99.41,96.59,95.75,96.53,97.97,97.71,97.67,97.73,97.87,97.87,0,-1.8
Turkey,40.37,37.85,39.63,46.18,39.22,41.57,42.94,38.91,38.33,29.98,24.94,19.84,26.25,25.29,30.73,24.54,25.25,19.03,17.35,19.58,26.38,25.33,27.23,28.82,20.89,31.96,32.92,29.46,-3.5,4.5
Kazakhstan,8.43,8.37,8.3,9.85,13.82,12.5,12.42,12.5,12.5,12.91,14.67,14.21,15.24,13.5,12.04,11.58,10.84,10.67,9.29,8.74,9.71,9.1,8.23,7.51,7.88,8.87,10.72,9.47,-1.3,-5.2
Russian Federation,15.34,15.69,17.05,18.23,20.1,20.52,18.23,18.89,19.29,19.08,18.85,19.74,18.44,17.25,19.13,18.37,17.65,17.68,16.07,17.8,16.28,15.94,15.68,17.29,16.72,16.01,17.45,17.51,0.1,-1.3
Ukraine,3.59,4.28,3.2,4.89,6.07,5.23,4.83,5.64,9.21,8.43,6.68,7.06,5.65,5.22,6.54,6.74,6.76,5.39,6.14,6.98,7.09,5.75,5.91,8.12,6.02,5.3,6.66,7.86,1.2,1.2
Uzbekistan,11.8,11.13,12.34,14.97,14.97,13.04,14.37,12.54,12.54,12.55,12.54,12.55,12.55,15.43,18.02,17.54,17.99,13.07,23,18.68,20.98,19.54,21.35,21.33,21.35,20.65,20.2,19.77,-0.4,7.2
Canada,62.39,61.42,61.69,61.73,60.41,61.01,63.11,62.36,60.41,61.19,60.61,58.04,59.89,58.92,58.45,60.04,59.55,60.3,61.48,62.86,61.4,62.34,63.24,63.3,62.83,63.02,64.08,64.71,0.6,4.1
United States of America,11.96,11.33,10.48,11,10.31,11.39,12.2,11.59,10.22,9.63,8.81,7.42,9.2,9.49,9.22,9.12,9.79,8.91,9.53,10.78,10.61,12.69,12.41,13.03,13.36,13.63,15.42,17.66,2.2,8.8
Argentina,35.78,30.74,35.13,39.22,42.87,40.35,33.47,39.53,36.52,27.54,33.21,41.84,43.59,37.97,31.69,33.69,37.25,30.06,26.54,29.18,28.77,32.48,29.49,31.68,31.79,28.38,25.6,28.23,2.6,-5
Brazil,94.5,94.63,94.42,95.25,95.41,94.16,93.56,92.98,92.92,90.04,89.49,84.29,85.74,87.16,86.03,87.12,86.75,88.21,84.27,89,84.72,87.12,82.45,76.69,73.08,73.97,80.96,79.71,-1.3,-9.8
Chile,53.84,70.97,82.69,81.66,74.27,72.41,60.45,62.13,48.17,38.03,48.55,54.26,55.45,50.16,46.9,53.88,55.25,44.16,45.75,48.83,40.2,39.6,36.45,35.67,42.41,43.6,39.08,44.5,5.4,-4.1
Colombia,76.38,75.68,68.67,73.25,78.49,76.4,82.99,71.64,69.75,79.86,75.52,74.34,76.5,78.79,81.65,80.17,80.6,81.53,84.01,72.88,72.12,83.47,79.55,74,74.04,68.24,72.11,86.78,14.7,11.3
Mexico,24.69,22.39,25.66,25.4,19.02,23.65,24.66,19.96,17.59,20.91,19.8,17.11,15.06,12.13,14.45,15.2,15.33,14.09,17.54,12.95,16.6,14.89,13.79,13.3,17.54,15.39,15.36,16.56,1.2,-3.2
Venezuela,62.34,70.33,70.09,68.43,72.01,70.05,71.24,73.36,71.6,75.16,73.75,67.07,64.82,65.84,71.1,73.28,73.9,72.72,72.79,71.89,67.49,70.93,67.41,67.83,68.26,63.7,57.6,63.33,5.7,-10.4
China,20.41,18.47,17.58,18.13,18.09,19.21,17.55,17.51,18.06,16.68,16.64,18.96,17.62,15.04,16.22,16.18,15.59,15.26,17.74,17.86,18.83,16.95,20.12,20.45,22.79,24.13,25.4,25.97,0.6,9.3
India,24.49,22.81,20.75,19.56,21.22,17.26,15.77,16.02,16.7,15.26,13.59,13.21,12.06,13.47,14.48,16.62,17.54,17.86,16.51,15.66,16.04,17.32,15.73,17.35,16.25,15.34,15.49,16.29,0.8,2.7
Indonesia,20.92,20.56,23.84,19.78,15.66,16.46,15.53,10.34,15.77,14.12,15.96,17.47,14.95,13.64,13.61,13.61,12.26,12.9,13.32,13.23,15.85,11.99,11.24,12.27,11.48,10.65,12.64,12.32,-0.3,-3.6
Japan,12.16,12.86,11.04,12.62,8.93,10.41,10.1,10.94,10.98,10.17,10.07,9.94,9.64,10.98,10.7,9.2,10.23,9.01,9.37,9.73,11.19,12.16,11.87,12.77,14.48,16.48,16.5,17.79,1.3,7.7
