,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (points) ,2000 - 2017 (points) 
World,0.35,0.35,0.37,0.38,0.39,0.38,0.39,0.41,0.45,0.49,0.56,0.60,0.67,0.75,0.86,0.97,1.08,1.24,1.50,1.84,2.11,2.62,3.12,3.74,4.21,4.90,5.60,6.68,1.1,6.1
OECD,0.44,0.44,0.47,0.48,0.48,0.46,0.48,0.49,0.53,0.58,0.65,0.72,0.85,0.99,1.19,1.38,1.57,1.87,2.27,2.82,3.25,4.09,4.86,5.75,6.48,7.48,8.17,9.44,1.3,8.8
G7,0.42,0.41,0.44,0.45,0.46,0.43,0.45,0.46,0.48,0.52,0.56,0.61,0.75,0.86,1.00,1.12,1.36,1.62,1.98,2.49,2.91,3.83,4.62,5.46,6.23,7.28,8.12,9.58,1.5,9.0
BRICS,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.05,0.05,0.07,0.07,0.09,0.11,0.13,0.15,0.19,0.27,0.33,0.50,0.76,0.97,1.33,1.75,2.35,2.73,3.35,4.40,5.71,1.3,5.6
Europe,0.18,0.18,0.22,0.26,0.28,0.30,0.33,0.42,0.55,0.65,0.88,0.99,1.26,1.54,2.00,2.39,2.62,3.21,3.68,4.42,4.95,6.53,7.84,9.16,10.17,11.70,11.78,13.45,1.7,12.6
European Union,0.18,0.19,0.23,0.27,0.30,0.32,0.35,0.45,0.59,0.68,0.95,1.06,1.36,1.66,2.18,2.64,2.86,3.50,4.04,4.86,5.42,7.19,8.72,10.17,11.32,12.99,12.96,14.82,1.9,13.9
Belgium,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.05,0.07,0.10,0.17,0.26,0.43,0.56,0.80,1.28,1.95,3.86,5.91,7.57,10.33,12.24,9.66,10.92,1.3,10.9
Czech Rep.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.06,0.14,0.31,0.46,1.21,3.04,3.02,2.98,3.11,3.48,3.25,3.28,0.0,3.3
France,0.12,0.11,0.11,0.10,0.11,0.10,0.10,0.10,0.11,0.11,0.10,0.11,0.14,0.16,0.19,0.25,0.46,0.80,1.08,1.59,1.94,2.60,3.54,3.82,4.29,5.16,5.50,6.23,0.7,6.1
Germany,0.01,0.04,0.05,0.13,0.27,0.32,0.38,0.55,0.83,1.00,1.63,1.80,2.73,3.47,4.56,5.10,5.74,7.05,7.37,7.95,8.19,11.55,12.56,13.24,15.22,18.53,18.16,22.25,4.1,20.6
Italy,1.49,1.44,1.67,1.81,1.61,1.58,1.70,1.88,2.00,2.06,2.19,2.34,2.40,2.62,2.72,2.90,3.04,3.40,3.60,4.50,5.69,8.96,12.90,14.80,15.75,15.75,15.76,16.49,0.7,14.3
Netherlands,0.32,0.28,0.46,0.50,0.57,0.76,0.79,0.83,0.94,0.95,1.21,1.15,1.24,1.62,2.08,2.37,2.95,3.47,4.13,4.18,3.52,4.70,5.18,6.13,6.50,8.01,8.57,10.93,2.4,9.7
Poland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.08,0.23,0.24,0.31,0.44,0.54,0.72,1.06,1.96,2.93,3.65,4.84,6.62,7.59,8.81,1.2,8.8
Portugal,0.02,0.02,0.03,0.05,0.16,0.18,0.21,0.26,0.38,0.47,0.57,0.78,1.00,1.26,2.00,3.97,6.15,9.02,13.03,15.78,17.73,18.40,23.16,24.56,24.51,24.05,22.30,22.06,-0.2,21.5
Romania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.50,2.23,4.48,8.39,11.90,13.64,12.81,14.43,1.6,-
