,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
Belgium,48,50,51,49,52,53,56,56,57,57,58,58,56,58,58,58,58,57,58,56,60,56,54,56,53,53,57,56,-1.9,-0.3
Czech Republic,50,45,44,43,41,42,43,43,42,39,41,42,43,45,46,45,46,46,45,43,45,44,43,43,42,42,42,44,4.9,0.3
France,225,238,234,238,231,240,251,244,252,252,255,260,261,266,270,271,266,263,265,253,261,252,252,253,243,246,242,243,0.3,-0.3
Germany,355,344,338,335,333,336,348,346,343,335,337,347,339,337,339,337,346,328,331,310,326,310,311,318,306,308,311,314,0.9,-0.4
Italy,151,155,154,153,151,160,159,162,166,169,172,172,173,182,183,186,184,184,182,170,174,168,162,156,147,153,153,153,0.3,-0.7
Netherlands,67,70,69,71,71,74,78,76,77,75,76,79,79,82,83,81,80,80,80,78,83,77,78,77,73,74,74,76,1.9,0
Poland,104,101,99,101,97,100,107,102,95,93,89,90,89,91,91,92,97,97,98,94,101,101,98,98,95,95,99,104,4.8,0.9
Portugal,17,17,19,18,19,20,20,21,23,24,25,25,26,25,26,26,25,25,25,24,23,23,21,22,21,22,22,23,4.4,-0.5
Romania,62,51,47,46,43,47,48,45,41,36,36,37,38,40,39,39,40,40,40,35,35,36,35,32,32,32,32,33,2.7,-0.5
Spain,91,94,95,92,96,101,99,106,111,116,122,125,129,133,140,143,142,144,139,128,128,126,126,117,115,119,120,122,2.1,0
Sweden,46,48,46,46,49,49,50,49,50,49,46,49,52,51,53,52,50,50,50,45,51,50,50,49,48,45,48,49,1.5,0.3
United Kingdom,206,213,213,215,222,217,226,219,221,222,223,224,221,224,222,223,219,211,208,196,204,189,194,191,180,181,178,176,-1.6,-1.4
Norway,21,22,22,24,23,24,23,24,25,26,26,27,25,27,27,27,27,28,32,32,34,28,30,33,28,30,28,28,1,0.4
Turkey,52,52,54,57,56,62,67,70,72,70,76,70,74,78,81,84,93,100,99,98,107,113,118,117,122,129,136,152,11.3,4.1
Kazakhstan,73,75,79,66,58,52,45,40,39,36,36,35,40,43,51,51,61,66,70,63,69,77,74,82,77,78,77,80,4.3,4.9
Russian Federation,882,873,800,756,660,639,634,606,592,609,619,626,623,645,647,651,670,672,688,646,688,721,739,719,724,709,711,744,4.7,1.1
Ukraine,243,244,212,189,161,160,147,140,132,131,129,130,131,141,140,143,137,138,135,114,132,126,122,116,106,90,92,87,-4.8,-2.3
Uzbekistan,46,48,45,47,47,43,44,45,50,51,51,51,53,52,51,47,48,48,50,44,43,47,48,43,44,43,41,41,0.1,-1.2
Canada,211,210,215,223,231,234,238,241,240,246,254,250,251,264,270,272,277,278,273,263,266,271,268,271,279,271,278,287,3.5,0.7
United States of America,1910,1925,1964,1998,2036,2063,2108,2130,2156,2206,2269,2226,2256,2261,2308,2319,2297,2338,2278,2165,2216,2191,2162,2185,2223,2194,2195,2201,0.3,-0.2
Argentina,46,47,50,50,53,54,56,58,60,61,62,59,57,61,67,67,73,74,78,76,79,81,81,83,84,86,86,86,-1,2
Brazil,141,143,145,148,156,161,170,179,183,187,188,191,196,199,210,216,223,236,249,241,266,271,282,294,304,299,289,291,0.6,2.6
Chile,14,14,15,16,17,18,20,23,24,25,25,25,26,26,28,28,30,31,30,30,31,34,37,39,35,36,38,38,1.2,2.5
Colombia,24,24,25,26,27,28,28,27,29,26,26,26,25,26,26,27,28,28,30,31,31,31,32,34,34,34,36,37,0.7,2.1
Mexico,123,129,131,133,136,132,135,142,145,150,150,155,155,165,167,178,182,181,180,180,175,184,192,192,188,187,192,186,-3.1,1.3
Venezuela,40,41,46,43,50,47,50,50,52,50,51,53,58,53,56,56,63,58,65,65,72,67,73,69,67,59,55,53,-2.2,0.2
China,871,848,877,929,973,1045,1074,1073,1078,1099,1130,1168,1246,1420,1615,1782,1950,2099,2155,2297,2537,2722,2820,2910,2955,2976,3017,3105,2.9,6.1
India,306,318,330,338,351,371,383,398,407,431,441,447,461,472,497,516,543,574,602,663,693,723,758,776,826,851,894,934,4.4,4.5
Indonesia,99,103,108,119,119,131,136,140,137,144,156,159,165,165,176,179,183,182,186,201,211,203,211,216,225,226,231,240,4,2.6
Japan,438,443,453,456,481,494,504,509,500,508,518,509,509,505,521,519,518,514,494,471,499,462,451,455,439,430,424,429,1.2,-1.1
Malaysia,22,27,30,32,32,35,39,45,42,43,49,51,53,57,61,67,67,73,77,73,74,77,79,88,90,86,92,94,2.3,3.9
South Korea,94,101,111,125,133,146,158,172,158,174,190,193,201,206,212,214,218,227,232,234,256,267,271,272,277,283,289,296,2.2,2.6
Thailand,42,46,49,51,57,62,69,71,66,71,72,74,82,89,96,99,101,105,108,108,118,118,126,136,135,135,136,138,1.4,3.9
Australia,87,86,87,91,92,94,100,101,104,106,108,106,109,110,112,113,118,122,127,127,128,128,127,127,125,125,128,129,0.8,1
