,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
World,8795,8812,8865,8900,9032,9249,9477,9601,9717,9726,10016,10177,10253,10670,11182,11542,11877,12073,12311,12210,12783,13104,13293,13486,13714,13796,13756,14080,2.4,2.0
OECD,3445,3475,3500,3497,3615,3677,3777,3808,3821,3797,3840,3884,3866,3838,3869,3850,3875,3865,3874,3814,3898,3875,3909,4000,4162,4180,4100,4201,2.4,0.5
G7,2534,2531,2545,2529,2634,2664,2709,2715,2735,2714,2712,2725,2694,2653,2668,2642,2665,2657,2668,2619,2671,2671,2687,2758,2917,2938,2853,2964,3.9,0.5
BRICS,2676,2619,2561,2522,2528,2604,2642,2626,2639,2667,2746,2838,2951,3205,3437,3630,3799,3962,4058,4115,4423,4608,4654,4740,4795,4834,4806,4974,3.5,3.6
Europe,1133,1134,1137,1148,1176,1207,1263,1259,1227,1228,1239,1237,1245,1237,1226,1192,1168,1146,1152,1113,1123,1081,1076,1064,1045,1052,1049,1059,1.0,-0.9
European Union,955,945,933,937,953,968,1000,988,960,961,952,953,952,944,939,911,891,868,863,827,844,810,803,798,779,773,762,758,-0.6,-1.3
Belgium,13,13,13,12,12,12,12,13,13,14,14,13,13,14,14,14,14,14,14,15,16,16,14,15,13,11,15,15,-0.6,0.6
Czech Rep.,41,39,37,36,34,33,33,34,32,29,31,32,32,34,35,33,34,34,33,32,32,33,33,31,30,29,28,29,2.6,-0.4
France,112,119,120,126,124,128,132,129,125,127,131,132,134,136,137,137,136,134,136,128,135,136,134,136,137,138,131,131,-0.2,0.0
Germany,190,169,164,153,145,145,143,145,137,138,136,135,134,135,137,137,139,136,133,126,129,123,123,121,120,120,117,122,4.5,-0.6
Italy,26,26,28,29,30,30,31,31,31,29,28,27,29,30,29,31,30,31,33,32,33,32,35,37,37,36,35,35,-0.8,1.2
Netherlands,61,68,68,69,67,67,75,67,64,60,58,62,61,59,68,63,61,61,67,63,70,64,65,69,59,48,44,40,-10.0,-2.2
Poland,104,100,98,97,98,100,102,100,87,84,80,81,80,80,79,79,78,72,71,67,67,68,72,71,68,68,69,64,-6.7,-1.3
Portugal,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,5,4,5,6,6,5,6,6,5,6,5,-14.3,1.7
Romania,41,36,34,33,32,32,33,32,29,28,28,28,29,29,28,28,28,28,29,28,28,28,27,26,27,27,25,26,2.8,-0.5
Spain,35,35,34,33,32,32,33,32,33,31,32,34,32,33,33,31,32,31,30,30,35,32,34,35,35,34,34,32,-5.2,0.0
Sweden,30,31,29,29,31,32,32,32,34,33,30,34,32,31,34,35,33,34,33,30,33,33,36,35,35,34,35,37,4.8,1.1
United Kingdom,208,215,215,223,252,258,269,268,272,282,272,262,259,247,226,205,187,176,167,159,150,131,118,111,109,119,121,121,0.2,-4.7
Norway,119,131,147,155,171,185,208,213,207,210,228,227,236,235,229,224,216,215,222,217,208,199,203,194,196,208,210,216,2.7,-0.3
Turkey,26,26,26,26,26,26,27,28,29,28,26,25,24,24,24,24,26,27,29,30,32,32,31,32,31,32,37,43,18.0,3.0
CIS,1656,1565,1453,1361,1250,1215,1208,1168,1176,1208,1256,1297,1347,1440,1508,1556,1603,1641,1680,1589,1692,1737,1759,1786,1765,1765,1790,1859,3.9,2.3
Kazakhstan,91,92,90,79,71,64,64,66,65,66,79,84,91,102,115,119,128,132,144,148,157,160,165,169,166,164,161,178,10.1,4.9
Russia,1296,1220,1143,1063,994,970,969,937,944,962,978,1008,1046,1119,1172,1203,1227,1239,1254,1190,1279,1299,1316,1331,1319,1334,1362,1418,4.2,2.2
Ukraine,127,111,104,95,83,78,71,71,71,72,72,72,73,75,76,81,83,83,84,79,79,86,85,86,77,62,64,63,-2.1,-0.8
