"Year","Agriculture, hunting, forestry, fishing (ISIC A-B)","Mining, Manufacturing, Utilities (ISIC C-E)","Manufacturing (ISIC D)","Construction (ISIC F)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","Transport, storage and communication (ISIC I)","Other Activities (ISIC J-P)","Total Value Added"
"Value Added by Economic Activity, Percentage Distribution (Shares)"
"1970","35.11142305667661","36.68626074749956","...","3.706790665028952","8.321635374627128","4.395507983856817","11.77838217231093","..."
"1971","33.93300500630876","38.108999145264356","...","3.93178395539094","7.76181366762994","4.412063983068093","11.852334242337905","..."
"1972","32.706472339758655","39.18272997962702","...","3.714151386929948","8.121767748001881","4.818993888105313","11.455884657577181","..."
"1973","33.21965024308831","39.289601625426315","...","3.664465568536391","8.148900660329438","4.752920687903636","10.924461214715913","..."
"1974","33.72232831176179","38.70146403564609","...","3.851050286441757","7.836480656340618","4.6750123771129495","11.213664332696796","..."
"1975","32.23556506004277","41.34232604046718","...","4.148708669189012","6.297088336897515","4.882381970718868","11.09392992268465","..."
"1976","32.64404738004417","40.714715920497895","...","4.453590309844074","5.500903433045573","4.922037074215352","11.76470588235294","..."
"1977","29.24615384615385","42.61538461538461","...","4.224615384615384","7.156923076923078","5.0830769230769235","11.673846153846155","..."
"1978","27.93106260363715","44.0780710577106","...","3.7757903607252565","7.798950716285645","4.94739989670264","11.4687253649387","..."
"1979","30.976710157297887","43.5678575783441","...","3.5263992196073652","5.972442385074991","4.72381416900378","11.23277649067187","..."
"1980","29.897334176166705","43.91961113411949","...","4.278832530461887","5.257536456176298","4.651568323996774","11.995117379078842","..."
"1981","31.593662628145385","41.891891891891895","...","4.214109161635399","5.778191985088537","4.473438956197576","12.048705377041207","..."
"1982","33.07712350182386","40.62755899650116","...","4.124171815677808","4.3493635077793495","4.595027171890122","13.2267550063277","..."
"1983","32.85666832752035","39.84554060787245","...","4.5125394452748715","4.5042351768809175","4.5673476166749705","13.713668825776448","..."
"1984","31.8197430789311","38.68791646630487","...","4.36765817132651","6.324105241464586","4.652057429415401","14.14851961255753","..."
"1985","28.182527558276277","38.2276978535867","...","4.608249348822384","10.338612359735793","4.635725197551352","14.007187682027498","..."
"1986","26.87496385960178","38.55746805188798","...","5.081821861567819","9.789711069563038","4.809082323008424","14.886952834370964","..."
"1987","26.554247743270885","37.95822484332263","...","5.482681298101802","10.240088051450961","4.669519577484456","15.095238486369276","..."
"1988","25.461947392344026","38.300297095577825","...","5.347720400782593","11.362094293261661","4.518356027219488","15.00958479081441","..."
"1989","24.830323985145345","37.984726248268316","...","4.633930546339306","10.556583895039525","4.731719810475093","17.26271551473242","..."
"1990","26.82060955449112","36.58545631808741","...","4.565830189479039","8.323089313721335","6.184561909202662","17.520452715018443","..."
"1991","24.275074185324712","36.982236420563765","...","4.624710870365405","10.346864675970318","6.455145712247281","17.31596813552852","..."
"1992","21.571273603118275","38.024232841199506","...","5.213921932743753","10.993399400614095","6.211550129621799","17.98562209270257","..."
"1993","19.519695457654485","39.94258995548479","...","6.363040041263471","9.891739457071415","6.095051747530359","18.18788334099548","..."
"1994","19.68053391011855","40.189031486058056","...","6.103944700991418","9.831734426593528","5.732625510409685","18.462129965828765","..."
"1995","19.78340327161158","40.79553568808507","...","6.086912575521929","9.746852777478896","5.28971401928275","18.297581668019784","..."
"1996","19.515329922661103","41.11995187554481","...","6.117208670199878","9.659007043214535","5.267232760277272","18.321269728102397","..."
