"Year","Agriculture, hunting, forestry, fishing (ISIC A-B)","Mining, Manufacturing, Utilities (ISIC C-E)","Manufacturing (ISIC D)","Construction (ISIC F)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","Transport, storage and communication (ISIC I)","Other Activities (ISIC J-P)","Total Value Added"
"Value Added by Economic Activity, Percentage Distribution (Shares)"
"1970","3.0885625784863815","39.401082505964595","34.318298341930145","8.652315390062641","14.008562280409405","6.793523908420264","28.055953336656707","..."
"1971","2.8955342465858567","37.678686677763125","32.81923726119829","9.002014189806044","13.986474636411875","6.782812365215059","29.65447788372744","..."
"1972","2.8767569429615203","36.55373865569389","31.83994398990623","9.06858411171859","14.080236431105304","6.82828281505699","30.59240104323926","..."
"1973","2.7354997639451706","36.59013311629818","31.86717330706325","8.532895367566356","13.736599670341693","6.661634119623859","31.743237962425596","..."
"1974","2.5017952465288538","36.777712206926715","32.037811337062145","7.61228699344783","13.331088021145145","6.464979198710531","33.31213833342578","..."
"1975","2.6420876450223694","35.27254147214802","30.72561197831454","6.9074663744702764","13.645296736818466","6.61735712815169","34.91525064303567","..."
"1976","2.6674081567957346","35.5785156730318","30.97308806981225","6.8563833118528805","13.608330366238242","6.599428412534872","34.68993407938344","..."
"1977","2.579334953920514","35.24701689369585","30.72529720105625","6.8069799585194675","13.92464967858584","6.752830027183104","34.68918848809523","..."
"1978","2.462828300273606","35.0672547296993","30.543762377120526","6.990876911945357","14.074268674610465","6.825391787012193","34.579379596602664","..."
"1979","2.209044273217521","34.47704047690096","29.95879578364678","7.30939476489367","13.79061752545362","6.6878243716529395","35.5260785878813","..."
"1980","2.0284009924407034","33.66639556382404","29.464351916274794","7.509691352914155","13.434389826605466","6.51507881272064","36.84604345149501","..."
"1981","2.0177793731962277","32.904265862834556","28.589881869931215","7.309372958924806","13.24860309850758","6.424990069235135","38.0949886373017","..."
"1982","2.133132367365832","32.97928043452569","28.453896219470032","6.769410183187858","13.123797999552936","6.364420648780143","38.62995836658755","..."
"1983","1.854419119678024","32.81232436102292","28.167556094137623","6.696780223444415","13.000867590350811","6.304865234973374","39.330743470421346","..."
"1984","1.8330541095950712","32.67140105594255","28.073862161746476","6.417358860579331","13.132818534571358","6.368867951884978","39.57649948742671","..."
"1985","1.6311154317072634","33.481788089923626","28.923795703617838","5.876463215926556","12.969419507125998","6.28942265631816","39.75179109889902","..."
"1986","1.6296531691463925","33.60116331266339","29.256227746226283","5.8438337621812675","12.771711351745227","6.193911122888497","39.95972728137524","..."
"1987","1.4435667238302592","32.920473715148916","28.580653356950307","5.795432376899138","12.914058333853276","6.262814235682168","40.663654614494476","..."
"1988","1.5036216210190085","32.644231186430986","28.558052318027304","5.785133647085095","12.641395640937459","6.129754622041707","41.29586328239878","..."
"1989","1.5857977771220195","32.18951014040216","28.31544907190629","5.831793230460909","12.671340995150212","6.146322522643164","41.575235334221524","..."
"1990","1.2694422849507443","31.624605621804186","27.95443898081092","6.019174263223613","12.87815888246776","6.2450123204377235","41.96360662711598","..."
