"Year","Agriculture, hunting, forestry, fishing (ISIC A-B)","Mining, Manufacturing, Utilities (ISIC C-E)","Manufacturing (ISIC D)","Construction (ISIC F)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","Transport, storage and communication (ISIC I)","Other Activities (ISIC J-P)","Total Value Added"
"Value Added by Economic Activity, Percentage Distribution (Shares)"
"1970","2.3635902014123484","27.2000656293882","23.540118761390058","4.86866681757423","16.490405787983487","9.821378623684485","39.25589293995725","..."
"1971","2.3481177350082514","26.54716542253958","22.899968015960624","4.923594977960945","16.48149935933664","9.915914294677137","39.78370821039042","..."
"1972","2.468579596684901","26.508285986610076","22.928810207660536","4.97978085007392","16.47343624659853","10.067511442010858","39.50240587794278","..."
"1973","3.2440529577547736","26.453966813160456","22.852230660885287","4.968780607669995","16.370764805936837","9.973210210876793","38.98922460460115","..."
"1974","2.9071389980439113","26.21835405706324","22.057237803274234","4.854255229173705","16.41754666115702","10.169188872008437","39.43351618255369","..."
"1975","2.766144798908371","26.047686225481186","21.432056120171726","4.582512420710048","16.638476868795358","9.787889121262268","40.177290564842764","..."
"1976","2.428161304341564","26.57411065000428","21.959147401346552","4.642171833997477","16.52592377323647","9.99845110759446","39.83118133082574","..."
"1977","2.19687992894809","27.051438626587437","22.407215693317003","4.585603752842815","16.323854127862816","9.942446045661454","39.89977751824261","..."
"1978","2.2613741498781854","26.699141660931563","22.101405743421033","4.770493913199237","16.333292367578515","9.949193480472621","39.986504427854506","..."
"1979","2.396744829253017","26.442972120408783","21.922677841548555","4.838708239778292","16.27333868754173","9.848976036349152","40.19926008666903","..."
"1980","1.9774310574714797","26.241918475240166","20.570780870543636","4.581310387902931","15.860327509604573","9.810566023471262","41.52844654630959","..."
"1981","2.140172591512548","26.94319197653047","20.442537515903876","4.12298649988136","15.588497740439584","9.727687743669732","41.4774634479663","..."
"1982","1.9444625275436385","25.8548006433918","19.415946460167962","3.939844112956344","15.543741530119176","9.612397815229286","43.10475337075975","..."
"1983","1.4696532392575077","25.064191472570098","19.163371354587884","3.9115083267870117","15.64776621292349","9.820116056023146","44.08676469243875","..."
"1984","1.745113045859095","25.05563070304055","19.38881627526984","4.161033192853652","15.863794017502347","9.590127444541901","43.58430159622728","..."
"1985","1.6408038129306852","23.982061729481373","18.61734779917041","4.353322453505429","15.99096128782759","9.47920691176634","44.55364380448858","..."
"1986","1.5102433052730684","22.645127935741023","18.295016434199088","4.60936919060748","15.877730947092395","9.401438445051204","45.95609017625675","..."
"1987","1.5181649601799734","22.44069547734736","18.208519242887707","4.501564109702349","15.396175816770327","9.433256871083712","46.71014276491628","..."
"1988","1.4004718605237263","22.57197047759992","18.481174115643498","4.481454310552943","15.438918644265165","9.2434621304293","46.86372257664777","..."
"1989","1.5094508663576365","22.09272956209023","18.07131273734549","4.3722832906641065","15.41651774189293","8.954043287463694","47.65497525151369","..."
"1990","1.5185258881481414","21.617523494556274","17.507683348704187","4.191573965936547","15.11738087302274","8.88960161141342","48.6653941669061","..."
"1991","1.3927677140098038","20.88679236479744","16.947548576453777","3.7858840145530035","15.145663975010237","9.108957642435529","49.67993428919398","..."
"1992","1.4363210131443178","20.392925639606798","16.69462698285838","3.622960122036678","15.08875281067305","9.101574897059722","50.35746551747944","..."
"1993","1.3276146972302942","20.28068629328798","16.642205764922068","3.66755045264651","15.059899188659495","9.214235077298431","50.450014290891964","..."
"1994","1.366698272276881","20.48377700604056","16.9278922292369","3.8165250022719412","15.393330274398648","9.316498310928765","49.62317113408321","..."
"1995","1.201067383497979","20.467088901949662","16.92009353817429","3.8169781546399704","15.299122072333363","9.309996906133717","49.90574658144531","..."
"1996","1.3529452280681433","19.936124890656195","16.383611121012915","3.9459057164211266","15.389811118072503","9.222446281379307","50.152766765402724","..."
"1997","1.266088416340235","19.48563700802089","16.122225331094945","3.9591494124230553","15.493844432008954","9.141251632158179","50.65402909904868","..."
"1998","1.1012292278154172","18.744069030962418","15.785756846821","4.190850307858672","15.776929358020878","9.524860415333348","50.66206166000927","..."
"1999","0.9615085092464722","18.464909092796994","15.459935414871193","4.336133406709792","15.578306872812982","9.750070088363255","50.909072030070504","..."
"2000","0.9588185950332612","18.210725502818907","15.120657029710696","4.499522053803086","15.563488812157392","9.32872944343653","51.43871559276057","..."
"2001","0.943119855602491","17.081053497009044","13.927555542955425","4.597473043593306","15.283644714087263","9.34520265736777","52.74950623233068","..."
"2002","0.8741610431411276","16.35760136061886","13.427881713940856","4.513450741573856","15.136884841169692","9.42832062325122","53.689581390245245","..."
"2003","0.9949206681677751","16.40222722591681","13.302263880888795","4.583616972997504","15.11668499415266","9.305999197081565","53.59655094168369","..."
"2004","1.169997625617135","16.421723146957927","13.16636236357533","4.786428355043927","15.03229979449307","9.509812751254739","53.07973832662501","..."
"2005","0.9841674081801725","16.498419809149762","12.989782455279064","4.999846583412598","14.994170169678744","9.326961431069927","53.19643459851646","..."
"2006","0.9055702341742373","16.83448550436136","12.984907162763761","5.046147164211517","14.929964891961344","9.244634261102465","53.03919794418908","..."
"2007","0.997114526318703","16.78764436017908","12.764588249133322","4.94959070559173","14.691005210459668","9.369139962772547","53.20550523467828","..."
"2008","1.0004961699755992","16.79909194097616","12.239765644647141","4.410475303649228","14.494280451582647","9.612103828665031","53.68355230515813","..."
"2009","0.8997411513918304","15.742009606467064","11.780380106031034","3.9145661171324555","14.190994283183144","9.521337707459546","55.73135113436596","..."
"2010","0.9758602978941963","16.204750565305265","11.986472695255438","3.502558048012593","14.300388876660064","9.649210573709803","55.367231638418076","..."
"2011","1.1639129092032119","16.43118179946469","12.016162240065885","3.373996294008647","14.343988058472307","9.57509779699403","55.11182314185711","..."
"2012","1.1088336255649125","16.10340058775591","11.897735411058703","3.4166399130713954","14.545106561627936","9.467685772849627","55.35833353912405","..."
"2013","1.2844801906464105","16.13285671730712","11.867143282692881","3.5007447125409588","14.676794757223712","9.653261840929401","54.751861781352396","..."
"2014","1.1459813606816533","16.00778445505961","11.684672499300882","3.6319847506862764","14.628954292008379","9.57077062680843","55.01452451475565","..."
