,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
World,3176,3175,3215,3242,3272,3324,3415,3511,3572,3502,3629,3631,3604,3741,3909,3954,3988,3963,3992,3906,3992,4038,4129,4143,4230,4332,4358,4364,0.1,1.1
OECD,895,914,929,936,971,982,1008,1020,1017,991,1009,1005,1009,1003,974,924,907,898,862,863,865,868,916,972,1057,1097,1077,1111,3.1,0.6
G7,611,610,612,611,633,637,639,641,640,623,616,604,610,598,580,548,550,554,541,557,571,584,642,707,797,844,831,878,5.7,2.1
BRICS,734,680,608,568,540,537,547,554,557,565,594,619,663,709,754,774,795,810,815,826,862,876,886,889,907,928,929,928,-0.1,2.7
Europe,220,231,247,260,302,314,332,330,327,332,336,326,325,311,290,268,247,241,229,218,202,184,169,161,161,169,173,170,-1.3,-3.9
European Union,132,131,134,139,168,170,170,169,173,178,171,160,164,154,143,131,120,119,111,104,98,85,77,72,71,76,77,76,-1.7,-4.7
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Czech Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13.9,-3.3
France,3,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-7.1,-4.2
Germany,6,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,4,-6.0,-0.4
Italy,5,4,5,5,5,5,6,6,6,5,5,4,6,6,6,6,6,7,6,5,6,6,6,6,6,6,5,6,8.6,1.3
Netherlands,4,4,4,4,5,4,3,3,3,3,3,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,1,-6.0,-3.3
Poland,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,-0.4,3.8
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.8,-
Romania,8,7,7,7,7,7,7,7,7,6,6,6,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,-4.8,-3.1
Spain,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.8,-3.7
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
United Kingdom,92,91,94,100,127,130,130,128,132,137,126,117,116,106,95,85,77,77,72,68,63,52,45,41,40,45,47,47,-2.0,-5.7
Norway,82,94,107,114,129,139,157,157,150,149,161,163,158,154,144,133,124,120,115,110,100,94,88,83,84,88,90,89,-1.1,-3.4
Turkey,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,-0.8,0.4
CIS,577,524,450,401,363,352,355,359,360,369,392,423,463,511,557,573,595,620,624,640,656,660,663,669,671,676,688,692,0.6,3.4
Kazakhstan,26,27,26,23,20,21,23,26,26,30,35,41,48,52,60,62,66,68,72,78,81,81,81,83,82,81,79,88,10.5,5.5
Russia,524,470,398,353,318,305,305,304,301,303,322,346,377,419,456,466,476,488,486,491,504,512,519,522,526,534,547,547,-0.1,3.2
Ukraine,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,3,3,3,3,2,2,-4.2,-2.8
Uzbekistan,3,3,3,4,6,8,8,8,8,8,8,7,7,8,8,6,6,5,5,5,4,4,3,3,3,3,3,2,-6.3,-6.4
America,885,905,911,918,925,947,987,1016,1021,987,1002,1005,1007,996,1028,1016,1029,994,980,1002,1031,1062,1123,1188,1283,1322,1282,1304,1.7,1.6
North America,505,505,504,497,492,494,496,500,494,474,478,476,481,479,471,450,460,463,456,478,496,520,586,655,746,788,772,820,6.2,3.2
Canada,92,92,96,101,105,110,113,119,125,120,125,127,133,140,145,140,155,159,157,156,164,174,187,200,216,222,223,240,7.8,3.9
United States,413,413,407,396,387,383,382,381,370,354,353,350,348,338,326,310,304,304,299,322,333,346,398,455,530,566,549,580,5.6,3.0
Latin America,381,401,408,420,433,454,491,516,527,513,524,529,527,517,557,567,570,531,524,525,534,542,537,533,537,534,510,484,-5.1,-0.5
Argentina,26,27,30,32,36,39,42,45,45,43,41,43,42,40,39,38,38,37,36,36,35,33,32,30,30,31,30,28,-6.4,-2.3
Brazil,33,32,33,33,35,36,41,44,51,57,64,67,75,78,77,85,90,92,96,102,107,111,111,108,120,130,134,140,4.5,4.7
Chile,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,12.6,-2.1
Colombia,23,22,23,24,24,30,33,34,38,42,36,31,30,28,27,27,27,27,30,35,41,47,49,51,51,52,46,45,-1.3,1.4
Mexico,151,158,158,159,158,154,161,169,173,167,169,176,179,190,191,188,183,173,157,146,145,143,143,141,136,127,120,108,-9.5,-2.6
Venezuela,115,129,130,137,143,156,177,186,181,166,174,172,160,138,175,182,183,156,160,161,159,160,155,153,147,146,135,119,-12.0,-2.2
Asia,294,305,303,307,319,330,336,342,342,340,340,341,345,346,353,357,357,355,360,358,376,371,377,375,375,382,363,358,-1.5,0.3
China,138,141,142,145,146,150,157,161,161,160,163,164,167,170,176,181,185,186,191,190,204,204,209,212,214,217,202,194,-4.1,1.0
India,35,33,30,30,35,38,36,37,36,36,36,36,38,38,38,37,38,39,38,39,42,43,42,42,41,41,40,42,3.9,0.8
Indonesia,73,80,75,77,81,80,80,79,77,75,70,67,62,57,53,52,49,47,48,47,48,45,44,41,40,40,37,40,7.8,-3.2
Japan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2.4,-3.0
Malaysia,30,31,32,32,33,36,36,36,36,33,31,33,35,37,38,37,35,35,35,33,34,30,31,29,30,33,33,33,-1.4,0.3
South Korea,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,108.7,3.7
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.0,-10.8
Thailand,3,3,4,4,4,4,5,6,6,6,8,8,9,11,11,13,14,15,16,16,17,17,19,19,18,19,20,18,-6.9,5.2
Pacific,35,35,35,35,33,34,34,33,36,30,38,38,36,34,30,28,26,29,28,28,27,25,24,22,21,19,18,17,-8.9,-4.6
Australia,27,28,27,27,25,27,26,27,29,24,32,33,31,31,27,24,22,25,23,23,24,23,22,19,18,17,17,15,-8.9,-4.3
New Zealand,3,3,3,3,2,2,2,3,2,2,2,2,2,1,1,1,1,2,3,3,3,2,2,2,2,2,2,2,-9.4,-1.0
Africa,320,334,338,337,339,348,366,382,381,374,386,388,385,418,458,478,488,499,500,483,497,422,455,418,397,393,377,387,2.7,0.0
Algeria,58,57,57,57,56,57,60,61,62,64,68,67,71,79,83,86,86,86,84,78,74,72,68,65,69,68,69,64,-7.5,-0.4
Egypt,45,45,46,48,46,47,45,44,43,42,36,35,35,36,33,32,32,33,35,34,35,34,34,34,35,35,33,31,-7.0,-0.9
Nigeria,88,92,96,97,96,98,108,117,111,107,115,121,104,118,127,129,122,114,109,109,127,123,121,108,108,104,96,98,1.8,-0.9
South Africa,4,4,6,7,7,8,8,8,8,8,9,5,6,5,6,5,5,5,4,4,4,5,5,5,5,6,6,5,-1.0,-2.8
Middle-East,845,841,931,985,991,1000,1005,1050,1104,1069,1135,1111,1042,1126,1193,1234,1245,1225,1269,1178,1204,1314,1318,1310,1323,1369,1457,1436,-1.4,1.4
Iran,164,172,187,196,194,197,194,193,194,191,199,191,189,208,211,220,223,226,223,212,214,212,159,159,162,162,200,216,8.0,0.5
Kuwait,46,9,55,98,105,106,106,106,108,99,105,103,92,111,121,135,139,135,140,119,123,141,158,155,152,152,160,152,-5.0,2.2
Saudi Arabia,342,435,446,440,428,430,434,429,441,406,436,423,389,458,490,514,506,486,507,457,461,520,547,536,541,565,581,560,-3.7,1.5
United Arab Emirates,92,105,113,110,109,109,110,115,118,109,121,117,111,124,130,133,142,140,142,130,134,152,158,165,168,178,184,176,-4.3,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
