"Year","Agriculture, hunting, forestry, fishing (ISIC A-B)","Mining, Manufacturing, Utilities (ISIC C-E)","Manufacturing (ISIC D)","Construction (ISIC F)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","Transport, storage and communication (ISIC I)","Other Activities (ISIC J-P)","Total Value Added"
"Value Added by Economic Activity, Percentage Distribution (Shares)"
"1970","11.549475023862552","30.432707604199805","27.426026089723194","5.39293668469615","16.401527203308937","4.3111676741966285","31.89627744193445","..."
"1971","12.169891687963975","30.75331629548497","27.674333698430086","5.476451259583789","15.650480710721673","4.186442740659608","31.775587197273943","..."
"1972","12.248350532904752","31.21299272542717","28.44696328878362","5.777364236169853","15.21739130434782","4.246320419556758","31.28066317036034","..."
"1973","11.920644048303622","33.737780333525016","31.190339275445663","5.853939045428407","15.497412305922944","3.9102932719953998","29.074180563542267","..."
"1974","11.437311298267916","34.39535992372477","31.689972985857295","6.098045447322422","15.243127284284125","3.976640711902113","28.853488002542505","..."
"1975","10.747366383719967","34.155445571930215","31.340724970276774","6.215610916028424","14.551939613459785","4.034064202173252","30.29557331268836","..."
"1976","10.858428089466452","33.689152282179904","31.00444476178576","6.215526320486959","13.409257242819658","4.523303761089592","31.304332303957445","..."
"1977","12.607096320383757","32.430437840892054","29.672167064494182","6.208415493363775","12.721255520577483","4.579052363326069","31.454895584691133","..."
"1978","10.259610780088394","33.15827072686308","30.365904398546117","6.336010299647519","12.087170187544649","4.852295832253911","33.30664217360244","..."
"1979","9.90720408018701","33.113267691435865","30.468702037732285","6.93915137777148","11.272933342778211","5.034591863238176","33.732379400722536","..."
"1980","10.112642628076834","34.122192763935516","31.289409615121993","6.8122418802654074","10.902129944008324","4.678295102965346","33.37202676675158","..."
"1981","10.112362045364469","32.84844057556545","29.98893143372904","7.193901963810117","10.257574529641444","5.0845463053525455","34.50317458026598","..."
"1982","8.726310624605233","34.15894754248568","30.927406347166762","7.049058117753579","9.907695810934998","5.4045525889901835","34.7535437489326","..."
"1983","10.94583077984868","32.90289704650865","29.044945420061442","6.023136828267614","9.331387938816386","5.343205701160453","35.45354170539821","..."
"1984","11.805555555555557","34.72222222222223","29.86111111111111","5.555555555555556","9.027777777777777","5.555555555555556","32.63888888888889","..."
"1985","11.046511627906975","36.82170542635659","31.5891472868217","5.426356589147287","8.527131782945736","5.038759689922481","33.13953488372093","..."
"1986","11.154752553024352","36.99921445404556","32.12882953652789","6.755695208169678","8.483896307934016","4.948939512961509","31.736056559308718","..."
"1987","9.339146397430014","33.708122992198255","28.77466727856815","7.2739788893988075","7.251032583754016","4.703992657182194","37.746672785681504","..."
"1988","9.752383272926629","32.960740718179885","28.620595132945514","7.078244449182226","7.486370420004264","4.994974568269729","37.7333780038376","..."
"1989","7.742993661406337","29.052172377855364","25.603817963335253","7.583532185590378","6.754902016618164","4.799410751879842","44.06717884174018","..."
"1990","10.130472545488189","29.878842102546482","25.526563530808254","7.0643053139881475","7.073625022498028","4.911461082331064","40.94128549902273","..."
"1991","10.559836533536867","29.38818845084307","24.36814839881191","6.485972434073732","6.948994942314031","4.708918599079437","41.90808904015286","..."
"1992","6.294706710184195","25.03576534225209","21.316165993221244","6.151645211699507","7.439198827538018","4.291845472445922","50.78683830640395","..."
"1993","5.776086036970258","25.454655312097678","22.185970636527546","6.307775963732563","7.081143132914927","4.120596943344236","51.25974262187671","..."
"1994","8.632559299661839","27.037613334578126","23.477795066686912","8.019794403520454","8.293299549025662","4.344622151856795","43.672111261100625","..."
"1995","5.53140979936879","20.66562195606454","17.191308900075068","5.293929959339117","10.554408114015077","3.6709452246797722","54.28368494685171","..."
"1996","5.218037050367833","18.84713481640739","15.31589161583686","5.4182915768707085","10.05950746754417","3.7155647866592423","56.741464302281265","..."
"1997","5.105968189833542","18.67728907736198","15.196929869011754","5.700904367538611","10.121685490055956","4.0018088253275765","56.39234404988234","..."
"1998","5.2200808081374515","18.037963776532454","14.30757284025797","5.85653189667572","10.10245038439066","4.171621866010075","56.61135126825363","..."
"1999","5.19705864000856","18.96227820507757","14.747317230729593","5.380066170441325","10.050942922794453","4.124774244590471","56.28487981719253","..."
"2000","5.458682798459271","21.447318020968687","16.165814692673347","5.41026899008313","11.306430798611824","6.162100958107521","50.21519843386733","..."
"2001","5.805495510916491","20.77714840378637","16.043763602457016","5.202241320676349","11.131841305701148","6.197093701356296","50.88617975774149","..."
"2002","6.409995039047504","20.912136534593447","15.72905427572627","5.147674553244817","10.757825628555688","6.041284827090661","50.73108341754589","..."
"2003","7.1932646475278945","22.36705452205999","16.906726666046012","4.595115417808333","10.910630110429944","6.035884337917685","48.89805096439194","..."
"2004","6.67351986519827","23.69498951666853","17.786667703550705","4.937280957124965","11.485596815350672","7.993338539867099","45.215274305790466","..."
"2005","5.478431817967527","23.88273829434703","17.359651179865335","4.589206513835095","12.356150832196848","8.047940276340826","45.64553226531267","..."
"2006","5.138071458201895","23.33388295450381","16.588572151051515","4.347949141222207","13.045589490176186","7.788589054464367","46.34591790143154","..."
"2007","5.180015810102186","22.55629762172468","16.599615715186392","4.564330629796663","13.674845968768842","8.116029215578884","45.908480754028744","..."
"2008","5.408425586222756","22.96251707611263","16.523242550093737","4.370951800054521","14.02434288377278","8.343765562677898","44.88999709115941","..."
"2009","5.235978905194648","20.163008631734737","15.274146286961665","5.425854330633506","14.704386666232477","8.126148867386595","46.34462259881803","..."
"2010","4.842256966731661","21.110044688813264","14.967482530186144","6.265123348391081","14.727719175013021","8.120344915285028","44.934510905765954","..."
"2011","5.107539092601696","20.89767907794222","13.861292995679836","6.277286605073941","15.067917658591231","8.132406172245858","44.51717139354505","..."
"2012","4.901863804903402","19.550424142683692","12.554677171131578","6.478266274800886","15.69443945778711","8.097045155179485","45.277961164645426","..."
"2013","5.276738343698394","18.467925406696885","12.269706791750115","6.382440005621727","15.858411510488038","7.925977653631285","46.088507079863675","..."
"2014","5.026912760666466","17.61904014974459","12.013029452208784","6.172580314973613","16.11777344213465","7.970806401468487","47.092886931012195","..."
"2015","5.023022534133266","16.773097840581535","12.235489131141064","5.741677837365614","15.679006191518699","7.8071402344750895","48.97605536192579","..."
"2016","5.506693775838853","16.529968176868703","12.180751487938243","4.904043219560441","16.310925168997407","8.113326318112838","48.635043340640216","..."
"2017","5.186209069550042","16.97321645750553","12.1431414135992","5.604697100943166","16.03652417128991","7.964087246232062","48.23526595449697","..."
