,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OECD,169.2,171.2,172.5,175.3,181.4,199.7,214.5,224.7,232.3,264.4,279.5,279.0,291.9,313.9,328.9,350.3,375.3,384.8,384.2,367.5,399.8,411.7,388.5,388.8,365.2,359.4,370.3,369.0
G7,170.0,176.8,179.6,182.2,183.2,192.6,212.7,212.6,210.7,229.6,233.4,230.3,241.3,250.4,272.5,287.5,304.9,314.7,316.3,311.8,331.3,333.4,324.1,321.6,293.1,282.8,299.2,286.1
BRICS,-176.8,-174.6,-185.1,-161.6,-179.3,-183.9,-191.3,-195.6,-199.4,-200.1,-178.0,-171.6,-173.2,-174.1,-180.1,-182.5,-174.4,-156.5,-158.1,-135.3,-143.8,-135.4,-114.0,-118.8,-87.1,-95.8,-96.9,-93.0
Europe,143.8,141.0,137.0,132.5,135.7,155.9,166.0,167.0,174.7,190.4,200.5,197.6,204.4,215.9,225.8,250.1,264.3,261.5,269.4,249.6,267.9,267.4,241.0,239.5,218.0,230.6,257.7,284.0
European Union,160.9,157.1,153.6,148.7,153.6,172.9,190.9,194.7,202.6,219.6,230.3,227.5,246.7,261.0,274.1,300.0,312.7,305.6,322.6,310.0,327.0,318.5,303.5,295.1,271.1,291.9,320.8,344.4
Belgium,9.6,10.2,10.7,11.1,11.5,12.6,14.4,13.6,15.0,16.3,16.0,16.1,16.6,17.3,17.8,18.0,18.2,18.2,18.2,18.2,20.5,17.9,17.7,18.2,16.1,17.1,17.6,17.2
Czech Rep.,6.0,6.9,6.8,7.0,7.2,7.9,9.3,9.4,9.3,9.2,9.2,9.5,9.7,9.5,8.7,9.3,9.7,8.3,8.7,8.6,8.4,9.2,7.5,8.5,7.2,7.5,8.1,8.9
France,27.9,29.5,30.6,29.1,30.2,31.7,34.4,34.0,34.4,39.9,40.3,39.3,41.2,42.4,43.9,47.0,44.7,42.9,45.2,44.9,45.8,44.4,41.6,42.8,38.1,39.0,42.7,42.2
Germany,53.1,55.6,56.8,60.6,63.0,67.1,76.0,72.7,70.0,71.3,70.4,72.1,74.0,71.2,76.1,73.9,77.5,70.9,75.7,74.4,73.6,72.0,71.4,75.8,67.6,70.0,78.7,84.3
Italy,30.5,33.0,33.9,32.1,29.1,34.3,37.0,39.0,42.6,49.4,57.4,54.7,59.2,62.4,67.5,73.1,77.0,73.9,76.7,69.1,75.2,70.2,67.6,61.7,55.5,61.0,65.1,69.5
