Country,Country Code,Quandl _Ticker
World,5001,UNAE/GVAKD_5001
OECD,,
G7,,
BRICS,,
Europe,,
European Union,,
Belgium,BEL,UNAE/GVAKD_BEL
Czech Rep.,CZE,UNAE/GVAKD_CZE
France,FRA,UNAE/GVAKD_FRA
Germany,DEU,UNAE/GVAKD_DEU
Italy,ITA,UNAE/GVAKD_ITA
Netherlands,NLD,UNAE/GVAKD_NLD
Poland,POL,UNAE/GVAKD_POL
Portugal,PRT,UNAE/GVAKD_PRT
Romania,ROU,UNAE/GVAKD_ROU
Spain,ESP,UNAE/GVAKD_ESP
Sweden,SWE,UNAE/GVAKD_SWE
United Kingdom,GBR,UNAE/GVAKD_GBR
Norway,NOR,UNAE/GVAKD_NOR
Turkey,TUR,UNAE/GVAKD_TUR
CIS,,
Kazakhstan,KAZ,UNAE/GVAKD_KAZ
Russia,RUS,UNAE/GVAKD_RUS
Ukraine,UKR,UNAE/GVAKD_UKR
Uzbekistan,UZB,UNAE/GVAKD_UZB
America,,
North America,,
Canada,CAN,UNAE/GVAKD_CAN
United States,USA,UNAE/GVAKD_USA
Latin America,,
Argentina,ARG,UNAE/GVAKD_ARG
Brazil,BRA,UNAE/GVAKD_BRA
Chile,CHL,UNAE/GVAKD_CHL
Colombia,COL,UNAE/GVAKD_COL
Mexico,MEX,UNAE/GVAKD_MEX
Venezuela,VEN,UNAE/GVAKD_VEN
Asia,5310,UNAE/GVAKD_5310
China,CHN,UNAE/GVAKD_CHN
India,IND,UNAE/GVAKD_IND
Indonesia,IDN,UNAE/GVAKD_IDN
Japan,JPN,UNAE/GVAKD_JPN
Malaysia,MYS,UNAE/GVAKD_MYS
South Korea,KOR,UNAE/GVAKD_KOR
Taiwan,,
Thailand,THA,UNAE/GVAKD_THA
Pacific,,
Australia,AUS,UNAE/GVAKD_AUS
New Zealand,NZL,UNAE/GVAKD_NZL
Africa,5100,UNAE/GVAKD_5100
Algeria,DZA,UNAE/GVAKD_DZA
Egypt,EGY,UNAE/GVAKD_EGY
Nigeria,NGA,UNAE/GVAKD_NGA
South Africa,ZAF,UNAE/GVAKD_ZAF
Middle-East,,
Iran,IRN,UNAE/GVAKD_IRN
Kuwait,KWT,UNAE/GVAKD_KWT
Saudi Arabia,SAU,UNAE/GVAKD_SAU
United Arab Emirates,ARE,UNAE/GVAKD_ARE
