Country,Code,Q_Ticker
Spain,ESP,UNAE/GVAKD_ESP
Sri Lanka,LKA,UNAE/GVAKD_LKA
Suriname,SUR,UNAE/GVAKD_SUR
Swaziland,SWZ,UNAE/GVAKD_SWZ
Sweden,SWE,UNAE/GVAKD_SWE
Switzerland,CHE,UNAE/GVAKD_CHE
Syrian Arab Republic,SYR,UNAE/GVAKD_SYR
Tajikistan,TJK,UNAE/GVAKD_TJK
Thailand,THA,UNAE/GVAKD_THA
The former Yugoslav Republic of Macedonia,MKD,UNAE/GVAKD_MKD
Timor-Leste,TLS,UNAE/GVAKD_TLS
Togo,TGO,UNAE/GVAKD_TGO
Tonga,TON,UNAE/GVAKD_TON
Trinidad and Tobago,TTO,UNAE/GVAKD_TTO
Tunisia,TUN,UNAE/GVAKD_TUN
Turkey,TUR,UNAE/GVAKD_TUR
Turkmenistan,TKM,UNAE/GVAKD_TKM
Tuvalu,TUV,UNAE/GVAKD_TUV
Uganda,UGA,UNAE/GVAKD_UGA
Ukraine,UKR,UNAE/GVAKD_UKR
United Arab Emirates,ARE,UNAE/GVAKD_ARE
United Kingdom,GBR,UNAE/GVAKD_GBR
United States of America,USA,UNAE/GVAKD_USA
Uruguay,URY,UNAE/GVAKD_URY
Uzbekistan,UZB,UNAE/GVAKD_UZB
Vanuatu,VUT,UNAE/GVAKD_VUT
Venezuela (Bolivarian Republic of),VEN,UNAE/GVAKD_VEN
Viet Nam,VNM,UNAE/GVAKD_VNM
Yemen,YEM,UNAE/GVAKD_YEM
Zambia,ZMB,UNAE/GVAKD_ZMB
Zimbabwe,ZWE,UNAE/GVAKD_ZWE
