,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
Belgium,17,16,14,14,14,14,13,12,12,11,12,11,10,9,9,8,8,7,7,5,6,5,5,5,5,5,5,4,-3.4,-5.6
Czech Republic,85,79,74,72,67,66,66,65,59,52,62,60,58,59,58,57,57,59,55,52,52,53,51,48,46,46,46,45,-2.3,-1.8
France,31,34,30,23,23,25,25,23,27,24,24,20,21,21,20,22,21,22,20,17,18,15,17,18,13,14,14,15,9.8,-2.7
Germany,449,368,328,306,289,274,273,260,248,236,244,249,253,255,253,244,245,254,240,226,232,236,247,247,239,239,230,222,-3.2,-0.6
Italy,22,21,18,16,17,18,17,17,17,17,19,20,21,22,25,25,25,25,25,20,22,24,25,22,21,20,17,15,-14.8,-1.3
Netherlands,13,11,11,11,13,14,14,14,14,12,13,13,13,14,14,13,12,13,13,12,12,12,13,13,15,18,16,15,-9.2,1
Poland,184,183,174,176,171,168,171,165,152,146,141,141,137,141,140,137,140,137,135,128,134,137,135,137,130,129,128,129,0.5,-0.5
Portugal,4,5,5,5,5,6,5,5,5,6,6,5,6,5,5,5,5,5,4,5,3,4,5,4,5,6,5,6,16.5,-0.5
Romania,47,40,44,45,44,45,45,38,31,28,32,34,35,38,36,36,41,40,40,35,33,39,36,27,27,28,26,27,7.5,-0.9
Spain,48,48,47,45,43,43,37,41,40,43,46,42,46,42,45,44,39,41,26,19,15,25,28,21,23,26,20,24,18.5,-3.8
Sweden,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4,5,4,4,4,3,3,3,3,0.8,-1.3
United Kingdom,107,106,100,87,82,77,72,64,64,57,60,64,59,64,61,62,68,64,59,49,51,51,64,61,49,38,18,15,-19.6,-7.9
Norway,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.9,-2
Turkey,54,58,60,55,59,61,66,73,78,76,81,73,66,64,65,77,84,99,99,99,96,101,101,85,97,93,107,134,25.9,3.1
Kazakhstan,90,90,91,83,80,66,59,49,49,46,50,48,52,61,63,65,69,74,85,77,83,90,91,90,84,77,73,78,6.7,2.7
