"Year","Agriculture, hunting, forestry, fishing (ISIC A-B)","Mining, Manufacturing, Utilities (ISIC C-E)","Manufacturing (ISIC D)","Construction (ISIC F)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","Transport, storage and communication (ISIC I)","Other Activities (ISIC J-P)","Total Value Added"
"Value Added by Economic Activity, Percentage Distribution (Shares)"
"1970","...","...","...","...","...","...","...","..."
"1971","...","...","...","...","...","...","...","..."
"1972","...","...","...","...","...","...","...","..."
"1973","...","...","...","...","...","...","...","..."
"1974","...","...","...","...","...","...","...","..."
"1975","...","...","...","...","...","...","...","..."
"1976","...","...","...","...","...","...","...","..."
"1977","...","...","...","...","...","...","...","..."
"1978","...","...","...","...","...","...","...","..."
"1979","...","...","...","...","...","...","...","..."
"1980","...","...","...","...","...","...","...","..."
"1981","...","...","...","...","...","...","...","..."
"1982","...","...","...","...","...","...","...","..."
"1983","...","...","...","...","...","...","...","..."
"1984","...","...","...","...","...","...","...","..."
"1985","...","...","...","...","...","...","...","..."
"1986","...","...","...","...","...","...","...","..."
"1987","...","...","...","...","...","...","...","..."
"1988","...","...","...","...","...","...","...","..."
"1989","...","...","...","...","...","...","...","..."
"1990","16.514389574708673","40.40648079263922","27.1064239908271","10.185403540405437","6.586415049667783","10.15442321719734","16.152888006291708","..."
"1991","13.899289983092933","39.31588420162323","27.1419157168779","10.049996658977593","13.354241441212956","7.554527251817646","15.826060542015771","..."
"1992","7.039666280607215","35.44903386659636","23.563950164222405","6.546844759709122","30.7590346800869","7.311436907741026","12.893983521606344","..."
"1993","7.992133908617531","35.77414011551999","23.787593160022475","8.325140626876786","20.40113174648867","8.615901441251275","18.891552161245745","..."
"1994","6.363225698096139","34.81379192973266","22.72642144089854","9.573647786666234","19.766415770660295","9.873496683139534","19.60942213170515","..."
"1995","7.127439501497597","30.42537454889628","20.091636177652052","9.055438014745945","21.199506193296465","12.014727688548284","20.177514052864264","..."
"1996","7.189632413985046","32.472259658449445","21.59123711918943","8.964828170573655","19.72882455209752","12.395546948464357","19.248908256485127","..."
"1997","6.454631068877005","32.362825006913404","21.524712788799","8.362911327636539","18.710834428949553","12.206750132500138","21.902048035076053","..."
"1998","5.609665150270601","32.67425405662998","21.679554714833596","7.350495715631869","20.525849946542913","10.728514266526743","23.111220864440085","..."
"1999","7.153772958858151","32.99763110466641","22.46890854091334","6.129913890613326","23.215850760862093","9.330468930071525","21.172362354928495","..."
"2000","6.302918145468494","33.27250064055648","22.73118873651206","6.546516078523782","23.71601028309697","8.853094796879295","21.30896005545953","..."
"2001","6.441612538460562","30.403213242063607","20.20720070796972","7.362042303931532","22.30885759539879","8.865327960281835","24.61894635987632","..."
"2002","6.2344514426686155","27.668320014529396","17.38429550666855","5.338623347942105","23.584821680637553","9.928862250580517","27.24492126365216","..."
"2003","6.197093524144487","26.686653509321435","16.526940647422126","6.02480420256668","22.728426458230867","10.405406511160638","27.957615794575897","..."
"2004","5.567942433946968","30.798759147944065","17.64589038462559","5.676796704551026","21.013601234747583","10.741801883451085","26.201098595359284","..."
"2005","4.918979536950606","32.899180840735994","18.51218511789966","5.321895549211267","20.205396778643337","9.952419057456135","26.702128237008004","..."
"2006","4.479837439093042","32.160940500770714","18.121457502585713","5.207267993338094","21.032435492338102","9.502622946389943","27.616895628070104","..."
"2007","4.368218179721025","30.868753919105803","17.846776103795925","5.709893012135233","20.966869695387754","9.381677366130715","28.70458782752296","..."
"2008","4.3598604606747005","29.95019602393515","17.718607072283397","6.294546771270522","21.091366278717636","8.994235973367571","29.309794492034413","..."
"2009","4.635633204107592","27.53420862215631","14.952730070168558","6.1774900062399425","18.727137453275887","9.322370591207495","33.603160123015705","..."
"2010","3.827961127079594","28.346156161985274","14.985542953083892","6.429975890517915","20.82232621662418","8.880850579610165","31.692730024182875","..."
"2011","3.918724658302211","26.255339576267495","13.398921759487958","7.6087118537573994","18.32846837583544","7.587017432998013","36.30173810283945","..."
"2012","3.6973951008204433","26.13376732948768","13.632529222933284","7.668765762442844","17.68988862577619","7.599048610141399","37.21113457133144","..."
"2013","3.618995227401254","25.29026458323334","12.963066436346274","7.006189310067169","17.06140771269384","8.049969522966077","38.973173643636756","..."
"2014","4.066499916527385","25.109601786410547","13.328699082958476","6.96241578659406","17.963362274267087","7.858016326003741","38.04010391019863","..."
"2015","4.59402967535205","26.060871021510206","14.077358990647824","7.0788416176890525","17.2385587247409","7.684637578555739","37.34306138214937","..."
"2016","4.643750628287966","25.42630810023974","13.291174228961584","7.078200001732063","17.27106015839524","7.795258569421202","37.78542254192509","..."
"2017","4.4482692512363124","25.85386437701025","13.206513402555641","7.440707501914769","17.285267410382744","7.6885457499756855","37.283345709479036","..."
