Country,Year,Agriculture,Mining,Manufacturing,Construction,Wholesale,Transport,Other
Belgium,1970,0.995885522,14.67801955,13.27549713,6.967793761,21.93329819,9.903209015,32.24629683
Belgium,1971,1.007413808,14.8215178,13.26658671,6.818231033,22.35299535,9.52575037,32.20750492
Belgium,1972,0.948037731,15.24687566,13.53957488,6.536323136,22.14064276,9.174939382,32.41360645
Belgium,1973,0.917637657,15.47897307,13.73842048,6.40454723,21.97862195,9.114016439,32.36778316
Belgium,1974,0.924165262,15.51825661,13.75261435,6.494207109,21.5950177,9.468726831,32.24701214
Belgium,1975,0.784551233,15.13846942,13.1160401,6.591674248,21.8929852,8.496885094,33.9793947
Belgium,1976,0.708850691,15.47059544,13.43372517,6.597558661,21.2943539,8.373619977,34.12129616
Belgium,1977,0.72576603,15.57830282,13.3440584,6.702907799,20.52548886,8.34782637,34.77564972
Belgium,1978,0.788595669,15.6283997,13.28573061,6.61382743,19.78236082,8.300146239,35.60093953
Belgium,1979,0.75426709,15.81462967,13.29599453,6.18764364,19.20770223,8.34713431,36.39262853
Belgium,1980,0.756033981,15.56423823,13.1056942,6.266026948,18.93092487,8.285860644,37.09122112
Belgium,1981,0.782479115,15.42455008,12.94026776,5.105362537,18.03061999,7.997457905,39.71926261
Belgium,1982,0.816064547,15.60896339,13.21654845,4.619130387,18.09265921,7.696204907,39.95042912
Belgium,1983,0.798604593,16.45157755,13.88031484,4.276713864,17.87252336,7.657915131,39.06235066
Belgium,1984,0.84538259,16.43036102,13.8538393,4.019491654,16.94961456,8.014432769,39.88687811
Belgium,1985,0.831556918,16.52858451,13.96655017,4.178798798,16.6151038,8.067639938,39.81176586
Belgium,1986,0.851494952,16.05749767,13.69349625,4.194130114,16.57855353,7.497842094,41.12698539
Belgium,1987,0.775937947,15.71101283,13.24518914,4.165738052,16.19660071,7.622566041,42.28295529
Belgium,1988,0.775641377,15.80792428,13.2733308,4.473491937,15.75021635,7.830836791,42.08855846
Belgium,1989,0.756967961,16.00911033,13.52162463,4.463459166,15.1317293,8.000065979,42.11704264
Belgium,1990,0.724735527,16.15912906,13.71546437,4.683269453,15.42283475,8.425011786,40.86955507
Belgium,1991,0.749231686,15.67333187,13.26771202,4.637825969,15.54524798,8.423158967,41.70349151
Belgium,1992,0.809264494,15.21510703,12.87424703,4.68649132,15.4623244,8.401200779,42.55136494
Belgium,1993,0.855021436,15.03115828,12.61228772,4.538507948,15.41356309,8.281698804,43.26776272
Belgium,1994,0.774849247,15.11272009,12.74163228,4.440271296,15.06013364,8.373187352,43.49720609
Belgium,1995,0.777867272,15.09816854,12.7523796,4.429068832,14.6997925,8.276601809,43.96612144
Belgium,1996,0.770475821,15.45684094,12.96325631,4.283614262,14.22534435,7.951311127,44.34915719
Belgium,1997,0.763466658,16.00475275,13.42963695,4.315345014,13.74416214,7.937405644,43.80523085
Belgium,1998,0.772966704,16.09415527,13.61420191,4.175007463,12.9118634,8.258687925,44.17311733
Belgium,1999,0.754778674,15.85652904,13.3936212,4.24271931,12.83769086,8.254961288,44.65969963
Belgium,2000,0.777502687,16.13333811,13.59097022,4.370206121,12.09158269,8.476444732,44.55995544
Belgium,2001,0.713452406,16.11752868,13.64544823,4.344905731,12.29115186,8.695996985,44.1915161
Belgium,2002,0.775917384,15.9628977,13.56921801,4.264980127,12.90234535,8.523616622,44.00102481
