,Country,Year,Agriculture,Mining,Manufacturing,Construction,Wholesale,Transport,Other,Total
0,xxx,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Belgium,1970,1871867434.3039,27588820409.707,24952637847.794,13096672206.881,41225849478.255,18614081688.357,60610172158.233,162636557036.4
1,Belgium,1971,1970672562.58,28993406911.119,25951697531.107,13337618278.449,43726256545.749,18633986094.502,63003351501.215,169354832776.47
2,Belgium,1972,1960046399.8451,31522567888.02,27992762453.719,13513699097.451,45775274247.517,18968978041.794,67014392510.841,178452884368.96
3,Belgium,1973,2035728581.4946,34339248892.074,30477928872.382,14208135148.254,48758361808.561,20218943299.224,71806143525.317,191019963292.9
4,Belgium,1974,2124660991.331,35676556782.761,31617335583.621,14930217651.542,49647063771.103,21768654756.347,74136057224.058,197808179186.54
5,Belgium,1975,1768697525.4593,34128266277.141,29568888153.748,14860314321.157,49355691638.664,19155434339.889,76603373688.383,195764505486.4
6,Belgium,1976,1697770217.1383,37053665189.977,32175151675.642,15801830684.741,51002164923.66,20055679970.081,81724009192.733,207152852143.48
7,Belgium,1977,1761872235.1306,37817944197.845,32394084382.948,16272003185.026,49827750885.075,20265213449.915,84421492874.864,210132518575.04
8,Belgium,1978,1973679119.349,39114399666.895,33251221288.441,16552935319.862,49510838110.265,20773415288.157,89101213424.257,216785647431.43
9,Belgium,1979,1965516628.4213,41210756769.656,34647538904.288,16124151015.062,50052638680.048,21751487639.019,94834200589.033,225721854142.43
10,Belgium,1980,2036666804.1481,41928230911.416,35305201863.903,16879941107.396,50997689544.626,22321136001.67,99919396025.026,233934537812.99
11,Belgium,1981,2128482823.0062,41957528668.9,35199837449.764,13887497131.75,49046503859.344,21754512614.007,108043482039.67,237051837101.59
12,Belgium,1982,2259669124.3865,43220959392.955,36596402304.579,12790295031.862,50098271701.989,21310663077.283,110622072171.15,240659597096.07
13,Belgium,1983,2213247142.3304,45593786093.765,38467806719.718,11852454663.412,49531785282.679,21223092026.024,108257123335.22,238835269618.73
