,Country,Year,Agriculture,Mining,Manufacturing,Construction,Wholesale,Transport,Other,Total
0,xxx,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Norway,1970,2808230850.6825,27172193315.869,21587619484.351,8980753856.3353,10861673944.575,10062866372.535,48401961817.812,108289521714.65
1,Norway,1971,2955583322.763,28015129849.717,22091752405.901,9691858221.4256,11652753486.833,10131698127.671,49995571873.406,112444402652.17
2,Norway,1972,2953307607.8864,29859871104.371,23118518549.566,9813195692.8168,11841024337.515,10753318527.506,51621573225.714,116844038117.65
3,Norway,1973,2841228699.8483,31677105539.777,24482544999.311,9661134250.6549,11508885399.145,11340818657.107,53510616016.905,120541692737.08
4,Norway,1974,3125503289.6732,33651468104.233,25436234997.932,9972158913.553,12582956393.217,11880453677.099,55009884254.3,126224012978.38
5,Norway,1975,3169121130.5667,37042946868.882,24784099738.039,10774989951.744,13133436646.905,11966028451.675,57881301725.5,133969310776.74
6,Norway,1976,3217480055.1496,40134076735.144,24661812822.28,10973137383.152,13630585412.933,13529389096.925,61027481526.587,142513514820.69
7,Norway,1977,3144088283.4689,41658269168.62,24666252888.46,11347836398.732,14055277838.136,13969198130.429,63571597163.007,147747801690.36
8,Norway,1978,3116400430.1668,47776138932.855,24216880832.759,12603289584.999,13621366143.665,14409642503.792,65302751252.943,156830355041.55
9,Norway,1979,2909879404.3844,52057688239.349,25283607605.129,11335368691.576,14171407726.458,15077087566.524,67823583825.634,163375732522.03
10,Norway,1980,3148450059.2858,55857424905.556,24990192979.457,11687581315.318,14611623102.165,16142274176.203,70674937632.559,172122737521.22
11,Norway,1981,3393847875.3619,55585746378.05,24537860879.636,11285497879.498,14211357534.813,16916952747.829,72635098749.258,174029419091.42
12,Norway,1982,3357246799.9448,55997862528.609,24560061227.078,11640382153.592,13716465854.129,16096578927.34,73744900607.956,174554710575.58
13,Norway,1983,3250857179.0983,59619570665.931,24007642542.396,12060499225.148,13843356861.988,16237867089.48,75442240410.843,180455392847.93
14,Norway,1984,3592783190.404,65127077380.394,25407744552.599,12257978739.832,14402728035.296,17657083496.484,78918560204.756,191956748298.09
15,Norway,1985,3257684323.7281,67495607301.806,26497226686.888,12875797970.495,16188921417.344,18650745208.879,81834817004.095,200303929504.49
16,Norway,1986,3030681880.6011,69018173092.513,26404725233.696,13938892314.904,17296249320.281,18994634220.323,84598521952.665,206877551682.13
17,Norway,1987,3173482922.9284,72827973826.003,26924768404.798,14512406662.071,17417416991.59,18310056638.632,86769890511.647,213011504702.02
18,Norway,1988,3202687908.4517,74355099302.358,25594597490.694,14572518803.254,16578594970.357,18912737438.301,89197937356.893,216820205349.16
19,Norway,1989,3322352527.2301,84752309714.601,24563021271.198,14288433271.75,15644702853.991,19846257807.804,90139637356.033,227992906884.21
20,Norway,1990,3481083573.6936,87373253688.129,24274046728.25,13954476944.712,15591163695.023,21468181249.138,91111328329.39,232978287507.04
21,Norway,1991,3838180989.9352,93723393321.384,23652066940.576,12554531961.947,15960717303.185,22291504955.191,93741138143.302,242107846874.17
22,Norway,1992,3638676746.174,101136193128.36,23887575651.455,12675646788.915,16304775072.384,22298260096.512,97143065040.411,253194569829.38
23,Norway,1993,4180865567.3514,103679661971.6,24313822352.13,12080981883.359,16536755422.584,23015715477.733,99770837266.85,259262840227.29
24,Norway,1994,4298633762.581,113989135061.35,24989267971.874,12595497278.368,18035927467.255,24276210004.136,102363547290.59,275555391695.59
25,Norway,1995,4587649419.5505,121856235610.09,25063639134.151,13407679084.517,19111934013.512,25729625616.986,103746886981.78,288434937021.91
26,Norway,1996,4569633337.9291,131549168355.16,26169956542.12,14003011923.342,20868972607.197,27437765939.611,106232648586.46,304654514533.64
27,Norway,1997,4506482283.1932,139048907028.82,27449436663.45,15463959591.893,22158179727.009,29351831540.052,110433644028.86,320955372351.11
28,Norway,1998,4588407985.6611,134444384249.28,27244823444.092,16489205542.534,23842576180.891,30676125250.241,113497960407.53,323531829761.48
29,Norway,1999,4588597623.0525,134209446866.12,27380985589.411,16481635863.781,23972008266.924,30768562740.935,117753022371.21,327767452125.11
30,Norway,2000,4470260499.1038,141457340614.92,27208377873.983,16680005939.611,25476967627.189,30595534239.625,121269665290.87,339943396376.8
31,Norway,2001,4361784817.317,144664131835.1,26998214559.493,16464047500.345,26305321191.231,30355835157.866,123916772784.25,346061584801.84
32,Norway,2002,4739363667.448,146094742434.85,26820241770.302,16743235003.447,26581988826.692,30685873674.342,125067046944.37,349905782308.72
33,Norway,2003,4652317606.5077,145360640126.84,27660154975.872,17394227227.354,27548988766.028,30450717865.711,126295520263.12,351696143808.3
34,Norway,2004,5179714297.5321,148937006049.91,28914474705.639,17993122261.133,28503914435.406,32820769965.532,129863811999.78,363291628177.73
35,Norway,2005,5296344618.7784,147989030767.96,30023012138.425,18753206893.699,29384708975.596,34051119542.258,134812364157.39,370280906218.74
36,Norway,2006,5497366011.3057,142372571879.22,30741563435.82,20185656936.44,31587058833.586,35679247329.381,140939779247.68,376257283114.89
37,Norway,2007,5889357716.8068,138795635224.05,31841960739.005,22245499638.77,33666789289.949,36857817427.271,148445308812.35,385897442052.14
38,Norway,2008,6141203369.6402,137035229019.72,32704259296.843,22552294206.535,34579258800.496,35781206910.244,152173688466.76,388261014033.94
39,Norway,2009,6229007996.691,132553648498.55,30301071495.933,20927262660.968,33424733059.424,35354644053.495,152756261424.65,381245045603.57
40,Norway,2010,6725492899.4899,128689535364.68,30836839928.306,20381800634.22,34774686336.688,37195698331.725,154434854542.95,382202068109.75
41,Norway,2011,6980372849.8552,126026969458.15,31376678417.207,20940620912.726,35461933732.249,38518294537.433,156895039433.58,384823786198.61
42,Norway,2012,7330074209.2927,127614346979.18,32036213787.398,22451439376.81,37078019660.83,39459384403.695,161994401162.77,395928463790.83
43,Norway,2013,7032145330.2082,126304522178.41,33116075770.026,22831259065.214,37786405851.372,40929143675.72,165496355769.86,400381304803.22
44,Norway,2014,7515924163.7943,128407668302.77,34109726397.353,23273417256.308,39797911716.531,40898244527.782,168977665456.79,408872324325.44
45,Norway,2015,7101744254.7911,130498912124.64,32517776368.399,23718469742.176,41354736853.716,41443961444.919,172213406525.14,416332811532.51
46,Norway,2016,6706718268.3028,130010528818.42,30924346300.841,24619038654.35,42670248608.852,41902654669.792,174802284851.11,420713379035.92
47,Norway,2017,6872939051.6476,131103436858.07,31020787981.249,25704171065.931,43125788680.105,43287533148.601,178204962544.4,428300870029.65
0,Oman,1970,60079690.507152,3281012590.3771,31355453.836151,191554983.09493,253132600.78023,40130652.795839,818625648.89467,4644536169.0507
1,Oman,1971,60988379.713914,3302901355.0065,31961877.763329,193829479.84395,256850413.52406,40896442.13264,829100369.31079,4684566436.9311
2,Oman,1972,66847417.425228,3584847040.3121,35982582.574772,212363635.89077,283364457.73732,45355555.26658,908702957.08713,5101481063.7191
3,Oman,1973,55725563.068921,3149335693.1079,29542452.535761,181090364.10923,238533381.0143,37639321.196359,768121167.75032,4430445490.2471
4,Oman,1974,72259123.537061,4033128704.8114,37271263.979194,230633630.68921,304145615.08452,47509550.06502,990426283.48504,5678102910.2731
5,Oman,1975,96027235.370611,5093551573.472,48167438.231469,302271014.30429,396536834.85045,63182005.20156,1292350642.3927,7243919305.5917
6,Oman,1976,112244866.05982,5830802132.6398,60005315.994798,351162494.14824,471725157.3472,76686920.676203,1508854780.2341,8351476353.7061
7,Oman,1977,131568631.9896,6714737518.8557,79982795.838752,417136967.49025,575447646.29389,94381609.882965,1788045081.9246,9721317459.0377
8,Oman,1978,124101159.94798,9211148491.5475,59598712.613784,458719888.16645,562817302.9909,81499763.328999,1855434226.2679,12293720829.649
9,Oman,1979,164120754.22627,8621703620.2861,73621940.182055,479278762.02861,635875318.59558,94098759.427828,2189993911.5735,12185071123.537
10,Oman,1980,198076772.43173,8220225713.9142,87645165.149545,587212853.05592,752226972.69181,130714595.57867,2460854764.6294,12349311667.1
11,Oman,1981,209631250.97529,9793252189.857,145084936.28088,636600353.70611,954287027.30819,168494299.08973,2802321994.7984,14564587115.735
12,Oman,1982,220195344.60338,10212349903.771,216389477.24317,745343474.64239,1155659804.9415,196390707.41222,3158720023.407,15688659258.778
13,Oman,1983,244954941.48245,11756418970.091,294131235.37061,823276044.21326,1272497250.9753,213287960.9883,3516273326.3979,17826708491.548
14,Oman,1984,256509420.02601,12945661443.433,394155661.89857,995905747.72432,1510639459.0377,240227919.37581,3992148192.4577,19941092182.055
15,Oman,1985,272685687.90637,15135051921.977,469421568.27048,1275919284.7854,1699297570.8713,268761958.38752,4362616546.1638,23014332972.692
16,Oman,1986,291502983.09493,16984908299.09,535774405.72172,1100117906.3719,1401018442.1326,269558998.69961,4617512036.4109,24664618663.199
17,Oman,1987,327486928.47854,17522029058.518,534288894.6684,664692325.09753,1208923934.9805,251386481.14434,4593084319.896,24567603050.715
18,Oman,1988,361820236.671,18630250234.07,556571563.06892,524232460.3381,1419918618.9857,260472741.22237,4681280954.4864,25877975245.774
19,Oman,1989,389881113.13394,19267463206.762,655110481.14434,452190143.04291,1432976920.6762,272109526.658,4862185001.3004,26676805911.574
20,Oman,1990,398464439.53186,20770869214.564,737308772.43173,476657347.20416,1615449521.4564,302556462.93888,5214142028.6086,28778139014.304
21,Oman,1991,398134312.09363,21313992137.841,786330644.9935,569995191.15735,1770774598.1795,347190715.21456,5526520517.5553,29926607472.042
22,Oman,1992,425865058.51755,22359510512.354,876451661.89857,697768358.90767,1982800200.2601,406490507.15215,5929191250.9753,31801625888.166
23,Oman,1993,435768897.26918,23614922855.657,1010147680.104,715892213.26398,2158056369.3108,451124759.42783,6210300416.1248,33586065508.452
24,Oman,1994,473180977.89337,24448007152.146,1001282148.2445,680924049.41482,2110308686.606,468684351.10533,6754090158.6476,34935195375.813
25,Oman,1995,538745381.0143,25740666041.612,1188526884.2653,642649188.55657,2282271414.8245,498285628.08843,6935735713.9142,36638353365.41
26,Oman,1996,534827092.3277,26819598795.839,1121456546.1639,585809612.48374,2403165526.658,534527045.51365,7076644905.0715,37954572972.692
27,Oman,1997,583455269.18075,27639256879.064,1141366853.0559,863725765.92978,2558971009.1027,605981063.71912,7489013760.7282,39740403747.724
28,Oman,1998,583645583.87516,27415606314.694,882262855.6567,961238512.35371,2803797906.3719,738699490.24707,7428263300.3901,39931251107.932
29,Oman,1999,628486814.04421,27726229791.938,966168535.76073,696412873.86216,2789239703.5111,690685211.96359,7498141713.9142,40029196106.632
