Country,Code,Q_Ticker
Afghanistan,AFG,UNAE/GVAKD_AFG
Albania,ALB,UNAE/GVAKD_ALB
Algeria,DZA,UNAE/GVAKD_DZA
Andorra,AND,UNAE/GVAKD_AND
Angola,AGO,UNAE/GVAKD_AGO
Antigua and Barbuda,ATG,UNAE/GVAKD_ATG
Argentina,ARG,UNAE/GVAKD_ARG
Armenia,ARM,UNAE/GVAKD_ARM
Australia,AUS,UNAE/GVAKD_AUS
Austria,AUT,UNAE/GVAKD_AUT
Azerbaijan,AZE,UNAE/GVAKD_AZE
Bahamas,BHS,UNAE/GVAKD_BHS
Bahrain,BHR,UNAE/GVAKD_BHR
Bangladesh,BGD,UNAE/GVAKD_BGD
Barbados,BRB,UNAE/GVAKD_BRB
Belarus,BLR,UNAE/GVAKD_BLR
Belgium,BEL,UNAE/GVAKD_BEL
Belize,BLZ,UNAE/GVAKD_BLZ
Benin,BEN,UNAE/GVAKD_BEN
Bhutan,BTN,UNAE/GVAKD_BTN
Bolivia (Plurinational State of),BOL,UNAE/GVAKD_BOL
Bosnia and Herzegovina,BIH,UNAE/GVAKD_BIH
Botswana,BWA,UNAE/GVAKD_BWA
Brazil,BRA,UNAE/GVAKD_BRA
Brunei Darussalam,BRN,UNAE/GVAKD_BRN
Bulgaria,BGR,UNAE/GVAKD_BGR
Burkina Faso,BFA,UNAE/GVAKD_BFA
Burundi,BDI,UNAE/GVAKD_BDI
Cambodia,KHM,UNAE/GVAKD_KHM
Cameroon,CMR,UNAE/GVAKD_CMR
Canada,CAN,UNAE/GVAKD_CAN
Cabo Verde,CPV,UNAE/GVAKD_CPV
Central African Republic,CAF,UNAE/GVAKD_CAF
Chad,TCD,UNAE/GVAKD_TCD
Chile,CHL,UNAE/GVAKD_CHL
China,CHN,UNAE/GVAKD_CHN
Colombia,COL,UNAE/GVAKD_COL
Comoros,COM,UNAE/GVAKD_COM
Congo,COG,UNAE/GVAKD_COG
Cook Islands,COK,UNAE/GVAKD_COK
Costa Rica,CRI,UNAE/GVAKD_CRI
Côte d'Ivoire,CIV,UNAE/GVAKD_CIV
Croatia,HRV,UNAE/GVAKD_HRV
Cuba,CUB,UNAE/GVAKD_CUB
Cyprus,CYP,UNAE/GVAKD_CYP
Czech Republic,CZE,UNAE/GVAKD_CZE
Democratic People's Republic of Korea,PRK,UNAE/GVAKD_PRK
Denmark,DNK,UNAE/GVAKD_DNK
Democratic Republic of the Congo,COD,UNAE/GVAKD_COD
Djibouti,DJI,UNAE/GVAKD_DJI
Dominica,DMA,UNAE/GVAKD_DMA
Dominican Republic,DOM,UNAE/GVAKD_DOM
Ecuador,ECU,UNAE/GVAKD_ECU
Egypt,EGY,UNAE/GVAKD_EGY
El Salvador,SLV,UNAE/GVAKD_SLV
Equatorial Guinea,GNQ,UNAE/GVAKD_GNQ
Eritrea,ERI,UNAE/GVAKD_ERI
Estonia,EST,UNAE/GVAKD_EST
Ethiopia,ETH,UNAE/GVAKD_ETH
Fiji,FJI,UNAE/GVAKD_FJI
Finland,FIN,UNAE/GVAKD_FIN
France,FRA,UNAE/GVAKD_FRA
Gabon,GAB,UNAE/GVAKD_GAB
Gambia,GMB,UNAE/GVAKD_GMB
Georgia,GEO,UNAE/GVAKD_GEO
Germany,DEU,UNAE/GVAKD_DEU
Ghana,GHA,UNAE/GVAKD_GHA
Greece,GRC,UNAE/GVAKD_GRC
Grenada,GRD,UNAE/GVAKD_GRD
Guatemala,GTM,UNAE/GVAKD_GTM
Guinea,GIN,UNAE/GVAKD_GIN
Guinea-Bissau,GNB,UNAE/GVAKD_GNB
Guyana,GUY,UNAE/GVAKD_GUY
Haiti,HTI,UNAE/GVAKD_HTI
Honduras,HND,UNAE/GVAKD_HND
Hong Kong SAR,HKG,UNAE/GVAKD_HKG
Hungary,HUN,UNAE/GVAKD_HUN
Iceland,ISL,UNAE/GVAKD_ISL
India,IND,UNAE/GVAKD_IND
Indonesia,IDN,UNAE/GVAKD_IDN
Iran (Islamic Republic of),IRN,UNAE/GVAKD_IRN
Iraq,IRQ,UNAE/GVAKD_IRQ
Ireland,IRL,UNAE/GVAKD_IRL
Israel,ISR,UNAE/GVAKD_ISR
Italy,ITA,UNAE/GVAKD_ITA
Jamaica,JAM,UNAE/GVAKD_JAM
Japan,JPN,UNAE/GVAKD_JPN
Jordan,JOR,UNAE/GVAKD_JOR
Kazakhstan,KAZ,UNAE/GVAKD_KAZ
Kenya,KEN,UNAE/GVAKD_KEN
Kiribati,KIR,UNAE/GVAKD_KIR
Kuwait,KWT,UNAE/GVAKD_KWT
Kyrgyzstan,KGZ,UNAE/GVAKD_KGZ
Lao People's Democratic Republic,LAO,UNAE/GVAKD_LAO
Latvia,LVA,UNAE/GVAKD_LVA
Lebanon,LBN,UNAE/GVAKD_LBN
Lesotho,LSO,UNAE/GVAKD_LSO
Liberia,LBR,UNAE/GVAKD_LBR
Libya,LBY,UNAE/GVAKD_LBY
Lithuania,LTU,UNAE/GVAKD_LTU
Luxembourg,LUX,UNAE/GVAKD_LUX
Madagascar,MDG,UNAE/GVAKD_MDG
Malaysia,MYS,UNAE/GVAKD_MYS
Maldives,MDV,UNAE/GVAKD_MDV
Malta,MLT,UNAE/GVAKD_MLT
