Country,Code,Q_Ticker
Norway,NOR,UNAE/GVAKD_NOR
Oman,OMN,UNAE/GVAKD_OMN
Pakistan,PAK,UNAE/GVAKD_PAK
Palau,PLW,UNAE/GVAKD_PLW
Panama,PAN,UNAE/GVAKD_PAN
Papua New Guinea,PNG,UNAE/GVAKD_PNG
Paraguay,PRY,UNAE/GVAKD_PRY
Peru,PER,UNAE/GVAKD_PER
Philippines,PHL,UNAE/GVAKD_PHL
Poland,POL,UNAE/GVAKD_POL
Portugal,PRT,UNAE/GVAKD_PRT
Qatar,QAT,UNAE/GVAKD_QAT
Republic of Korea,KOR,UNAE/GVAKD_KOR
Republic of Moldova,MDA,UNAE/GVAKD_MDA
Romania,ROU,UNAE/GVAKD_ROU
Russian Federation,RUS,UNAE/GVAKD_RUS
Rwanda,RWA,UNAE/GVAKD_RWA
Saint Kitts and Nevis,KNA,UNAE/GVAKD_KNA
Saint Lucia,LCA,UNAE/GVAKD_LCA
Saint Vincent and the Grenadines,VCT,UNAE/GVAKD_VCT
Samoa,WSM,UNAE/GVAKD_WSM
San Marino,SMR,UNAE/GVAKD_SMR
Sao Tome and Principe,STP,UNAE/GVAKD_STP
Saudi Arabia,SAU,UNAE/GVAKD_SAU
Senegal,SEN,UNAE/GVAKD_SEN
Serbia,SRB,UNAE/GVAKD_SRB
Seychelles,SYC,UNAE/GVAKD_SYC
Sierra Leone,SLE,UNAE/GVAKD_SLE
Singapore,SGP,UNAE/GVAKD_SGP
Slovakia,SVK,UNAE/GVAKD_SVK
Slovenia,SVN,UNAE/GVAKD_SVN
Solomon Islands,SLB,UNAE/GVAKD_SLB
Somalia,SOM,UNAE/GVAKD_SOM
South Africa,ZAF,UNAE/GVAKD_ZAF
South Sudan,SSD,UNAE/GVAKD_SSD
Spain,ESP,UNAE/GVAKD_ESP
Sri Lanka,LKA,UNAE/GVAKD_LKA
Sudan,SDN,UNAE/GVAKD_SDN
Suriname,SUR,UNAE/GVAKD_SUR
Swaziland,SWZ,UNAE/GVAKD_SWZ
Sweden,SWE,UNAE/GVAKD_SWE
Switzerland,CHE,UNAE/GVAKD_CHE
Syrian Arab Republic,SYR,UNAE/GVAKD_SYR
Tajikistan,TJK,UNAE/GVAKD_TJK
Thailand,THA,UNAE/GVAKD_THA
The former Yugoslav Republic of Macedonia,MKD,UNAE/GVAKD_MKD
Timor-Leste,TLS,UNAE/GVAKD_TLS
Togo,TGO,UNAE/GVAKD_TGO
Tonga,TON,UNAE/GVAKD_TON
Trinidad and Tobago,TTO,UNAE/GVAKD_TTO
Tunisia,TUN,UNAE/GVAKD_TUN
Turkey,TUR,UNAE/GVAKD_TUR
Turkmenistan,TKM,UNAE/GVAKD_TKM
Tuvalu,TUV,UNAE/GVAKD_TUV
Uganda,UGA,UNAE/GVAKD_UGA
Ukraine,UKR,UNAE/GVAKD_UKR
United Arab Emirates,ARE,UNAE/GVAKD_ARE
United Kingdom,GBR,UNAE/GVAKD_GBR
United Republic of Tanzania,TZA,UNAE/GVAKD_TZA
United States of America,USA,UNAE/GVAKD_USA
Uruguay,URY,UNAE/GVAKD_URY
Uzbekistan,UZB,UNAE/GVAKD_UZB
Vanuatu,VUT,UNAE/GVAKD_VUT
Venezuela (Bolivarian Republic of),VEN,UNAE/GVAKD_VEN
Viet Nam,VNM,UNAE/GVAKD_VNM
Yemen,YEM,UNAE/GVAKD_YEM
Zambia,ZMB,UNAE/GVAKD_ZMB
Zimbabwe,ZWE,UNAE/GVAKD_ZWE
